gene
AAAS
AARS2
AASS
ABAT
ABCA3
ABCA4
ABCA5
ABCB11
ABCC11
ABCD3
ABCD4
ABCG5
ABCG8
ABHD12
ABHD5
ACAD8
ACAD9
ACADM
ACADS
ACADSB
ACADVL
ACAT1
ACE
ACER3
ACO2
ACOX1
ACOX2
ACP4
ACP5
ACSF3
ACTN3
ACY1
ADA
ADA2
ADAM17
ADAM22
ADAM9
ADAMTS10
ADAMTS13
ADAMTS17
ADAMTS18
ADAMTS2
ADAMTS3
ADAMTSL2
ADAMTSL4
ADAT3
ADCY1
ADCY3
ADCY6
ADD3
ADGRG1
ADGRG6
ADPRS
ADSL
AEBP1
AGA
AGBL5
AGK
AGL
AGPAT2
AGPS
AGRN
AGT
AGTPBP1
AGTR1
AGXT
AGXT2
AHCY
AHI1
AHR
AICDA
AIMP1
AIMP2
AK1
AK2
AK7
AKR1C2
AKR1D1
ALAD
ALDH1A3
ALDH3A2
ALDH4A1
ALDH5A1
ALDH6A1
ALDH7A1
ALDOA
ALDOB
ALG1
ALG11
ALG12
ALG14
ALG2
ALG3
ALG6
ALG8
ALG9
ALKBH8
ALMS1
ALOX12B
ALOXE3
ALS2
ALX1
ALX3
AMACR
AMBN
AMCN
AMH
AMHR2
AMN
AMPD1
AMPD2
AMT
ANAPC1
ANGPTL3
ANKLE2
ANKS6
ANO10
ANO6
ANTXR2
AP1B1
AP1S1
AP3B1
AP3B2
AP3D1
AP4B1
AP4M1
AP4S1
AP5Z1
APC2
APOA2
APOC2
APRT
APTX
ARFGEF2
ARG1
ARHGDIA
ARHGEF1
ARHGEF18
ARHGEF2
ARL13B
ARL2BP
ARL3
ARL6
ARL6IP1
ARMC2
ARMC4
ARMC9
ARNT2
ARPC1B
ARSA
ARSB
ARV1
ASAH1
ASL
ASNS
ASPA
ASPH
ASPM
ASS1
ATAD1
ATCAY
ATF6
ATIC
ATOH7
ATP13A2
ATP2A1
ATP5F1A
ATP5F1E
ATP5MD
ATP6V0A2
ATP6V0A4
ATP6V1A
ATP6V1B1
ATP6V1E1
ATP7B
ATP8A2
ATPAF2
AUH
AURKC
AVIL
B2M
B3GALNT2
B3GALT6
B3GAT3
B3GLCT
B4GALNT1
B4GALT1
B4GALT7
B4GAT1
B9D1
B9D2
BAAT
BANF1
BBIP1
BBS9
BCHE
BCKDHA
BCKDHB
BCKDK
BCL10
BCS1L
BDP1
BFSP1
BHLHA9
BIN1
BLM
BLNK
BLOC1S3
BLOC1S6
BMP1
BMPER
BOLA3
BPNT2
BRAT1
BRDT
BRF1
BSCL2
BSND
BTD
BVES
C11ORF80
C12ORF4
C12ORF57
C12ORF65
C15ORF41
C1QA
C1QB
C1QBP
C1QC
C2
C2CD3
C4B
C6
C7
C8A
C8B
C8ORF37
C9
CA12
CA2
CA5A
CA8
CABP2
CABP4
CACNA2D2
CACNA2D4
CAD
CAMK2G
CANT1
CAPN1
CARD9
CARMIL2
CARS2
CASP14
CASP8
CASQ2
CAST
CAT
CATSPER1
CAVIN1
CBLIF
CBS
CBX2
CC2D1A
CC2D2A
CCBE1
CCDC103
CCDC114
CCDC115
CCDC151
CCDC174
CCDC39
CCDC40
CCDC47
CCDC65
CCDC8
CCDC88A
CCN6
CCNO
CCT5
CD19
CD247
CD27
CD2AP
CD320
CD36
CD3D
CD3E
CD3G
CD40
CD59
CD70
CD79A
CD79B
CD81
CD8A
CDAN1
CDC14A
CDC45
CDC6
CDCA7
CDH11
CDH3
CDHR1
CDK10
CDK5
CDK5RAP2
CDK6
CDT1
CEBPE
CENPE
CENPF
CENPJ
CENPT
CEP120
CEP135
CEP152
CEP164
CEP19
CEP250
CEP290
CEP55
CEP57
CEP63
CEP78
CEP83
CERKL
CERS1
CERS3
CFAP298
CFAP410
CFAP43
CFAP44
CFAP53
CFAP65
CFAP69
CFAP70
CFD
CFL2
CFTR
CHAT
CHIT1
CHKB
CHMP1A
CHP1
CHRM3
CHRNA3
CHRNG
CHST11
CHST14
CHST3
CHST6
CHSY1
CHUK
CIB1
CIB2
CIBAR1
CIDEC
CIITA
CISD2
CIT
CKAP2L
CLAM
CLCF1
CLDN1
CLDN10
CLDN14
CLDN16
CLDN19
CLEC7A
CLIC5
CLMP
CLN3
CLN5
CLN6
CLN8
CLP1
CLPB
CLPP
CLRN1
CNGA1
CNGA3
CNGB1
CNGB3
CNNM2
CNNM4
CNPY3
CNTN1
CNTN2
CNTNAP1
CNTNAP2
COA3
COA5
COA6
COA7
COA8
COASY
COCH
COG1
COG2
COG4
COG5
COG6
COG7
COG8
COL13A1
COL18A1
COL1A2
COL25A1
COL27A1
COL9A1
COL9A2
COLEC10
COLEC11
COLGALT1
COLQ
COPB2
COQ2
COQ4
COQ6
COQ7
COQ8A
COQ8B
COQ9
CORO1A
COX10
COX14
COX15
COX20
COX4I2
COX6A1
COX6B1
COX8A
CP
CPA6
CPAMD8
CPLANE1
CPLX1
CPN1
CPS1
CPT1A
CPT2
CR2
CRADD
CRAT
CRB2
CRBN
CREB3L1
CRIPT
CRLF1
CRPPA
CRTAP
CSF2RB
CSF3R
CSPP1
CST6
CSTA
CSTB
CTC1
CTDP1
CTH
CTNNA2
CTNS
CTPS1
CTSA
CTSC
CTSD
CTSF
CTSK
CTU2
CUBN
CUL7
CWC27
CWF19L1
CYB5A
CYB5R3
CYBA
CYC1
CYP17A1
CYP19A1
CYP1B1
CYP21A2
CYP24A1
CYP26C1
CYP27A1
CYP27B1
CYP2R1
CYP2U1
CYP4F22
CYP4V2
CYP7B1
D2HGDH
DAG1
DARS1
DARS2
DBH
DBT
DCAF17
DCDC2
DCLRE1C
DCPS
DCXR
DDB2
DDC
DDHD1
DDHD2
DDOST
DDRGK1
DDX11
DDX59
DECR1
DEGS1
DENND5A
DGAT1
DGKE
DGUOK
DHCR24
DHCR7
DHFR
DHODH
DHPS
DHX37
DHX38
DIS3L2
DLAT
DLD
DLL3
DLX5
DMGDH
DMP1
DMXL2
DNAAF1
DNAAF2
DNAAF4
DNAAF5
DNAH1
DNAH11
DNAH17
DNAH5
DNAH9
DNAI1
