gene
NRAS
CTNNB1
EGFR
CRH
YWHAZ
SMARCA2
CDC2
HSPA8
KRAS
SP1
CDK2
CDK4
RB1
RAD51
SMAD3
CREBBP
TP53
GRB2
SMAD2
SMAD4
SMARCA4
CCNE1
PCNA
EP300
JUN
PPM1B
CDC25A
PPM1L
TBP
TGFBR1
CCND1
MRE11A
H2AFX
PPP1CC
BRCA1
KPNB1
BMP2
SRC
MAPK1
PPM1G
PPM1K
CCNA2
CCNB1
WT1
HIPK3
CSNK2A1
DLG3
RAD54L2
CBL
CDC20
MSH2
TOP2B
RFC4
ESR1
GLI3
CDK6
CCNE2
PAX6
RELA
PPP1CA
AKT1
PLK1
CSNK2A2
POLR2A
CDC6
PPM1E
XPO1
XRCC5
ILKAP
HOXA10
ELK3
RPLP0
IGF1R
SMARCE1
ACVR1
COL3A1
FGFR1
PSMC3
CHEK1
ERBB4
PAX3
MCM2
PIK3CB
NR3C1
FYN
PSMA3
E2F1
TOP1
POLA1
CASK
HIPK1
SF3B1
CREB1
EBF1
ASF1A
ABL1
SMARCC2
PSMD11
BMP7
SMC4
DLG1
VCAN
KLF9
RPL4
CTBP1
MAD2L1
CDC25C
HMGA1
BMP4
UBE2I
DDX5
MYCN
HOXA5
RRM1
COL1A1
CDC45L
TUBA4A
RPL24
RAC1
YWHAG
HNRNPR
SPARC
PSMA2
MYOD1
RPS3
AR
RPS23
EGR1
PSIP1
LHX2
JUP
SOX10
SMARCA1
H2AFZ
ERBB3
NCL
NSUN6
STAT3
CEBPB
CHEK2
EIF3E
PRKG1
SMARCD1
GLI1
YWHAQ
RRM2
EIF4A2
NARG1
NUP93
YWHAB
WDTC1
SMAD9
ADAM10
ETF1
NUP153
BMPR1A
MDM2
HIF1A
RPS2
FRAP1
PSMA5
ELK4
MCM6
HIST1H2AJ
NFYA
LIG1
UTX
TLE1
PITX2
FBXW7
CDKN1A
PABPC3
PABPC4
PPARGC1A
HSPA4
SOX3
RPL14
GSK3B
SMARCA5
RPL10L
SSB
EIF3B
SMC3
FEN1
MYF5
FOXO1
PIAS1
MAPK3
PIAS2
DHX15
RFC3
MPP5
RPS11
RPS5
POU2F1
NCOA1
ORC5L
NCAM1
BRCA2
NF2
BGN
MSH6
FGF17
PSMA4
HOXB5
MCM5
ENAH
DCC
PSMD14
TGFBR2
PSMD6
JARID2
SYNCRIP
SCNN1A
IPO5
GAS7
RARA
MYBL2
APP
FGF2
MEF2C
HDAC3
EZH2
COPS5
EIF3H
PPP1R12A
DACH1
CDT1
PSME3
NEUROD1
RHAG
NUP205
PSMD12
FBL
ARAF
NOTCH2
MCM3
PLCD1
SMARCD3
PLS3
SMAD1
FGFR2
RPS9
SMC1A
WNT4
UGP2
IMPDH2
TFAP2A
RAD21
PICALM
RECQL
TP53BP1
NLK
ATXN1
RPS20
SDCCAG1
CHTF18
PPM1F
FRS3
IGF2
AKAP1
POLD1
PRIM1
FOXA3
RBBP7
PRKAA2
EIF5B
NUP54
HIST1H2AC
POLE2
FOS
BCL2
EEF2
GAD1
DLEC1
BACH2
EGR2
BTAF1
PSMD1
PSMD2
KPNA5
ING4
COL2A1
KRR1
PSEN1
SMARCD2
TCF4
JUNB
DKC1
HIST2H2AB
MAPK14
RPS24
MAP2K1
MCM4
JAK1
IPO9
HDAC2
TOX
NTN1
PSMD8
ORC2L
DLL4
PIN1
PIK3CA
GATA4
CKS2
DRGX
JAK2
PSMA1
MAGI3
FN1
ANK2
CETN3
PSMA7
FAM46A
BUB3
ETS1
PSMD3
MAPRE1
HNF4A
RAC2
SIN3A
HIRA
PDGFRA
NFKB1
PSMB1
UNC5B
TYMS
MAG
PIK3CG
TLE4
PRKACB
SP3
IRS1
G3BP2
FGF5
HOXA9
ACTG1
NUP37
CSE1L
CRKL
TOX3
HAT1
NUP155
HIST1H2AA
MCM7
TBX2
TFDP2
RFC1
FGFR4
UBA2
LEF1
ACVRL1
MGA
AKT2
RANBP2
GNL3
GJA1
NSUN5C
ETV6
