gene
C1orf158
FCER1G
FAHD2A
ALPP
CDCP1
IMPG2
C3orf33
FER
TAF11
PM20D2
NPBWR1
SIGIRR
NLRP10
SLC37A2
TMBIM4
POP5
EXOSC8
ASB2
PLA2G4D
GNPTG
SEPHS2
IRF8
TP53I13
CCT6B
WNK4
FDXR
SERPINB13
C19orf26
LIN37
ZSCAN1
ADAM33
SIGLEC1
NXT1
C21orf33
ZMYND12
MRPS14
MERTK
NDUFS1
MFSD1
MFI2
SLC10A6
FBXO4
TRIM7
SAMD9
SLC13A4
NUDT18
GPRC5A
ALKBH2
ABHD13
JDP2
SERPINA4
HEXA
TRPV1
SLC4A1
ST6GALNAC1
ARHGAP28
PODNL1
IRGQ
ZCCHC16
NOL9
PLA2G2F
CRYZ
ST3GAL5
TM4SF20
TMEM165
DNAH5
PDZD2
TAAR1
ADAMDEC1
PNLIP
RNH1
SLC2A14
KIAA0774
ERCC5
OR5AU1
UNC13C
GCNT3
MCTP2
EEF2K
FBXO31
TUBD1
RNF157
ZNF91
PRX
HDAC10
UPRT
FAAH
SH3GLB1
SCNM1
RHOQ
NPHP1
B3GNT5
POLR2H
C4orf8
BTN3A3
WNT16
WDR60
ZC3H3
MAF1
GBA2
PTGDS
C10orf54
FAS
TTC9C
SCARF1
TMEM100
METTL4
ME2
MAP3K15
TEX11
MIER1
RXFP4
ALLC
CCDC142
CHST10
CFLAR
C3orf32
FAM13A1
YIPF5
FGD2
OSBPL3
CYP3A43
CCDC136
TG
CTSL1
SURF2
NMT2
CPN1
PSD
HPS5
GPR44
EFCAB4B
AMDHD1
APAF1
BMF
IL16
MRPL28
ZNF434
DHX38
FUT1
ZNF577
SYN3
HMOX1
FLG2
LRRN2
LPIN1
CCDC115
PECR
SLC6A20
PLSCR4
GP5
COQ2
C6orf182
FIG4
INMT
MTFR1
C8orf38
FCN2
NOXA1
PRPF18
MYL6B
GPR182
MRP63
PARP4
ZBTB25
WFDC1
CD68
ZNF18
TIMM13
FXYD3
DOCK7
MCOLN3
MATN3
CYP1B1
GPR35
NAT6
PPM1M
UROC1
FAM105B
ADAMTS12
BHMT
ZKSCAN4
OSTM1
NCOA7
MFHAS1
TNFRSF10A
PTPRCAP
CCDC62
KCNRG
ZFYVE21
ITGAE
TNFSF9
ARMC6
GPR143
FANCB
CHIT1
ITPKB
FAM110C
LRRFIP1
ATG7
TMEM129
GPR78
TACR3
PLA2G12A
SLC38A9
RSHL3
RAPGEF5
PON3
FBXL13
GSTK1
C9orf86
ANUBL1
COMMD9
C13orf23
C14orf73
UBL7
IGSF6
CACNB1
MRPS23
CLEC4G
ZNF587
C20orf3
LCA5L
SLC25A17
USP48
SLC30A2
RBKS
TEKT4
NEK10
ACOX2
LETM1
C4orf23
MMAA
KCNQ5
PNLDC1
FKBP6
TM7SF4
MRPL17
KCNJ1
CPNE8
AVIL
HPD
RNF6
NOX5
SERPINB2
ARHGEF18
ZNF155
ZNF552
CDK5RAP1
UPB1
SAMM50
H2AFB1
ISG15
TAS1R1
OMA1
FGGY
CCDC18
AQP10
TRIM17
LCT
NISCH
ACOX3
ADAD1
INTU
SLC45A2
SLC36A2
PDLIM7
GFOD1
KCTD20
LYRM2
DDHD2
SLC25A32
TTC18
MRPL49
C11orf54
MED17
C11orf57
PROZ
PRPF39
CYP1A2
DPEP2
GAS8
C19orf62
CCDC97
TMEM143
TSEN34
ZNF264
ZNF543
SRXN1
GHRH
ZCCHC12
PEX10
CC2D1B
ACOT11
TMEM77
MAEL
GPA33
CENPL
PFN4
SLC4A1AP
THUMPD2
MRPL19
CHRNA1
PRRT3
DNAH1
ACAD9
CAPSL
HISPPD1
SLC25A2
STK31
ZNF394
GPAA1
AGPAT2
ABCC2
UROS
TMEM9B
MUC15
PIWIL4
KLRK1
RAPGEF3
HDAC7
PARP2
C14orf149
GNB5
ZKSCAN2
C16orf58
KRT33A
AOC3
UNC13D
L3MBTL4
HNRNPM
RASGRP4
SPACA4
SLC37A1
UBE2NL
IDH3G
GPR157
A3GALT2
IPP
C1orf65
NVL
PLCH1
TTC14
LIAS
MTHFD2L
CMBL
ERAP1
FCHSD1
SPACA1
MRPL32
STAG3
SOX17
CTSL3
ZNF484
GJD4
SAC3D1
MGST1
USPL1
LINS1
SMYD4
TMC8
B3GNT3
TBC1D17
PDRG1
ZBP1
EFHC2
NOX1
AGMAT
FAM54B
HIST2H2BF
ADAMTSL4
SCYL1BP1
LAD1
LAMB3
RBM45
ABHD5
GRAMD1C
GRK7
GFM1
FAM105A
LY86
SNRPC
DFNA5
SRCRB4D
KIAA0649
PNPLA7
RTKN2
NRIP3
P2RY6
PIH1D2
CCDC84
OR10G4
MNS1
FAM57A
GPS2
CYB5D1
LRRC48
RAB40B
CD70
EXOC3L2
RASSF2
PXMP4
FAM118A
RAB40A
TCEAL4
CCDC23
LRRC42
ITGB3BP
MTMR11
ADAM15
OR6K3
ARV1
REG1B
MTERFD2
IL17RE
C3orf37
IRAK1BP1
RAB32
TTLL2
POP1
SEC61B
FAM125B
RASSF7
ELMOD1
ZBTB44
PPHLN1
RFXAP
HEATR3
SNAI3
DNAH2
ICAM2
CPAMD8
ZNF829
LGALS4
LSS
HPS4
LAS1L
BOLA1
PCNXL2
FAIM
CCDC109B
GZMK
ANKRD55
LECT2
TIGD6
PPP1R11
RNF8
GPRC6A
SAMD3
LAT2
CDH17
MRPL13
PDCL
CRAT
PITRM1
HPS6
CCDC147
CCDC34
VSIG2
SNX19
RPS6KL1
MT1X
GLOD4
ALOXE3
FUT5
IFNGR2
MCHR1
TCEAL8
C8A
RPAP2
ABCA4
C1orf59
PIGM
TROVE2
ARID5A
CCDC51
SRP19
ATG12
SPINK9
SLC22A7
CRISP3
LACE1
HEBP2
EFCAB1
IL7
RASSF4
8-Mar
ZNF511
OR51A2
ELA1
ORAI1
MTMR15
IVD
RAB8B
SHPK
CYB5D2
LAMA3
LMAN1
CCDC94
ZNF417
MRPS26
SPTLC3
PSMG1
HSCB
TCEAL5
C1orf57
RNF149
CREG2
CYBRD1
CAPN7
XCR1
PTPN23
GOLIM4
NDUFB5
TLR6
SCYE1
OXCT1
FSTL4
OGFRL1
DGKI
CIZ1
FOLR3
KERA
VPS36
SSTR1
CD276
TNFRSF17
RRN3
NFATC2IP
SLC25A41
SPINT2
CRYZL1
TNFRSF13C
EGFL6
LAGE3
SPATA1
SLC44A3
ACP6
F11R
ABCG5
CHAC2
IL1RL2
AMBN
TDO2
GZMA
STK32A
QRSL1
ARHGAP18
SFT2D1
POP7
MDFIC
METTL2B
MTMR9
PPAPDC1B
PSKH2
C9orf156
ZNF33A
OR51S1
GPR152
IGHMBP2
MMP27
TMPRSS13
TMCC3
AP1G2
SNX22
FBXO22
RGS11
RPUSD1
SRRM2
C16orf61
FBN3
CCDC151
ZNF223
ZNF233
FTL
C20orf71
C20orf152
NDUFB11
OR10Z1
SLAMF1
GPR39
TNNC1
PODXL2
CC2D2A
ZAR1
LRAT
AFAP1L1
PANK3
PTCD1
SLC39A4
FREM1
PPP2R4
OPN4
MRGPRE
PRKCDBP
OR10A6
METT5D1
CCDC82
KLRD1
KRT75
SLC5A8
SPSB3
MYLK3
SMCR7
RGS9
ZBTB45
SPEF1
IFNAR1
ATAD3B
SASS6
C1orf183
PLEKHO1
TDRKH
VHLL
APOBEC4
ATP6V1G3
FLVCR1
HADHB
THADA
PDCL3
MGAT5
CXCR7
RPUSD3
NAAA
RFESD
ANKRD43
IL17B
MRPL22
TRIM38
GUCA1B
WISP3
TSPYL1
CARD11
WIPI2
THAP5
OPN1SW
CLEC5A
SLC7A2
CNGB3
RASEF
OLR1
TMEM106C
CYP27B1
SLC35E3
PHF11
SLC39A2
SNUPN
