CFTR
NPC1
TK2
GAA
PPT1
SLC22A5
DHCR7
HEXA
ERCC8
FAH
IDUA
POMGNT1
ASPA
CLN5
GALC
LAMA3
LAMB3
STAR
PRF1
ASS1
PEX7
GBE1
POLG
SMPD1
TPP1
GAN
SMARCAL1
HSD17B4
PLA3G6
BCS1L
FKTN
TCIRG1
