L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
6300	-138.408951406589	-139.12130987685939	-138.822731745962	-139.37444286555913	-138.7759473265704	-141.25793760517007	-143.41577748984056	-151.13511010718048	-155.18977494715912	-170.45820039075667	-170.9661455140899	-176.83449712300072	-191.56629584292781	-172.1657434466662	-236.50455252586076	-621.6379314686935	-926.6550949205127
6300	-154.06454889172727	-152.180375360683	-153.3240850570926	-152.5262571629755	-154.09955059632725	-153.86919089975078	-153.49280373534236	-161.85820562370736	-161.57061299149706	-169.95908612950547	-185.04825605645044	-200.01282578149477	-210.851645070172	-202.7134124910826	-249.354403674845	-591.5741447125135	-869.3335593095051
6300	-122.48442489137072	-121.49569856968274	-121.08983176078077	-120.46702538056351	-120.32253153985593	-119.89124906727976	-120.36313114097827	-122.52297588405905	-127.37804412488165	-131.43339160883687	-131.80522737898045	-142.29258381666176	-155.09432752032583	-140.61463596514488	-212.21786733018843	-559.1464005068274	-831.4642875027179
6300	-102.74378884677944	-101.91724859794094	-101.701585484643	-101.99860771028672	-101.07733512669384	-100.72863821632126	-106.53748437604679	-105.51427177509977	-107.34380515700173	-119.11871542738409	-118.25614432446854	-119.40791584467553	-124.05205844792215	-117.81390354536543	-164.28939048303164	-513.9006624076515	-773.1408427092053
6300	-104.26295287193929	-103.7803470277464	-104.68590004950569	-103.85654635777979	-102.02678418831387	-102.04906294720688	-102.48856956031426	-105.30103557586776	-104.82484681495997	-115.76079059160764	-121.64040046939252	-125.4149679767643	-133.12144848571938	-119.9659279281052	-180.8884921534168	-588.1726351360142	-925.5798138251996
6300	-139.86697440599255	-139.30483475922705	-138.5941229558588	-137.5837877839665	-138.67372919705002	-137.9401644212883	-139.23093529777003	-146.1962509132223	-147.40559369660872	-152.05439056220152	-161.06178960670522	-176.0196958956031	-184.8252138302159	-171.03456698226537	-233.65532883774404	-678.3641646051072	-954.2315349715806
6300	-139.61336530135853	-138.20461791042015	-138.71950420681063	-137.81606654505975	-139.6798578289024	-137.37751993366194	-141.32031720852046	-149.43982090251316	-151.4515110033161	-165.6208755215477	-170.5416861170747	-173.80553806466892	-183.5904595585988	-171.89972450980906	-222.69965432548315	-524.184927118622	-776.3208862776792
6300	-160.28818999527016	-161.3134645291498	-159.935281829876	-161.64100324670608	-163.0056580028632	-176.75566525038957	-182.5056939416522	-189.36260819624906	-188.24178114728784	-199.00011103522536	-202.21053105857288	-215.3970436553085	-222.77258219486993	-211.9559940507085	-274.3702762393422	-634.5280396570416	-909.4282352880191
6300	-140.7609360867861	-141.20509178488837	-140.3900972893046	-141.38653695339323	-140.52642723433783	-144.6707706101481	-141.40486610880302	-146.66575305812287	-143.82125566737	-146.7219547672726	-158.86590817690998	-174.29811887150842	-192.11695797595087	-174.86203841537576	-248.48579365624641	-672.5709793330291	-989.5811835217405
6300	-156.44808666290672	-156.72066636579422	-156.05527209493076	-155.59366656267727	-156.8216204852686	-159.1340558264549	-167.4140929409676	-178.59903770835456	-183.72022527036015	-188.5985649973125	-196.71786380146256	-205.58064538045832	-211.9884543757291	-201.9557609724338	-259.1210463270722	-686.9322324008749	-980.3951492547951
6300	-154.24099968136557	-152.96275925011767	-152.29960946882122	-154.53939517618613	-153.83611572764138	-160.64765753022235	-162.570129941154	-173.85545765186419	-177.65844232970622	-184.44019053362564	-195.52238586350109	-207.8347460336119	-212.22165342239106	-206.28027247706984	-249.69167478658773	-651.4318861585455	-940.2398098266696
6300	-137.5499041478471	-136.98323686417913	-138.42426957447233	-136.58531323491965	-137.02388576585716	-143.09422577656335	-148.45646879443643	-149.3083454075936	-157.04629925497233	-161.42367762748344	-162.20852762490648	-170.22205146884264	-176.19890057784076	-167.21295079355855	-230.57118877657845	-608.4653850464625	-883.9019605990721
6300	-116.40421167725238	-115.00407024703074	-115.31951935068433	-114.52616815988183	-113.60726928247888	-112.60013864418889	-113.39568310039832	-113.95391617892999	-115.44935284742029	-124.99983511066273	-126.07003318988453	-134.19819026254842	-141.1090351869105	-131.43843600936938	-180.57984405718364	-514.0441782226465	-786.7758876743004
6300	-144.15596968633116	-143.5054792314407	-143.96937966127803	-143.16166298338027	-143.264136685427	-143.54422530276642	-144.72315163876112	-153.17882614396183	-162.11262880046033	-161.33823861488912	-163.22094403012312	-177.00572813439112	-202.35792210657903	-172.43084218476227	-245.9448747644471	-568.2210507373219	-841.8438810068726
6300	-107.0544818657229	-106.64307920451105	-106.57556753390008	-106.12581169192127	-105.09977140743736	-104.67745536503944	-104.79260411127295	-105.47318625779853	-107.77886506236801	-116.98036721832486	-120.40352317676333	-129.04136278138702	-140.70560947313282	-132.3265616043487	-169.1775454377623	-525.3886959874657	-844.542513206266
6300	-113.14984095069258	-112.30402975823935	-112.27030676542478	-112.10766678899982	-111.32787682012744	-117.57777195888295	-117.46758995130743	-118.35652316126134	-124.85108669122567	-122.5147097610512	-125.41048089016398	-141.9592438149425	-151.0087126002677	-145.36320540328586	-181.30449808798932	-563.8375301409302	-852.936765025261
6300	-153.21532562082803	-155.673145045271	-152.26715933768807	-158.3150670048171	-153.5877306758637	-165.1571498829151	-180.73728723067364	-176.59404778059675	-180.65171911216592	-189.9269956569844	-189.70723879082107	-193.11929763791574	-202.21230155070992	-188.63661537202066	-254.15727730440761	-655.0861107126342	-959.513983101835
6300	-99.27793039293402	-98.77836902084913	-98.1057489924503	-97.32358409816055	-96.58534264357243	-95.00487585519559	-94.55961541431539	-94.90294852853954	-94.13941875169806	-94.28262501629042	-97.41124488788617	-109.1118310847537	-123.76444670146532	-103.50802367568673	-165.8774579434312	-636.0356192130334	-1003.458578637426
6300	-149.21242846699118	-149.58434128953988	-148.45587426533865	-148.62162776830343	-148.91778789935873	-150.85705470668339	-151.21020933605612	-152.8793179223893	-158.9405510396976	-162.86648268893114	-179.73596199053802	-201.6010088168488	-209.2752836164946	-197.0098869099035	-252.52627134674242	-673.6893883285455	-979.3297877894973
6300	-167.46108978623948	-166.56704229094805	-168.99990612987077	-173.79386624341072	-168.2078660468623	-175.91710535873028	-177.5376878159873	-183.2733608062786	-187.7386831473584	-206.88200725963856	-209.5440344331597	-226.06256243798305	-248.20563276080676	-230.7947821877875	-301.86731854109445	-668.3446847877153	-1014.9561814092505
6300	-136.72239553797064	-135.82974633420008	-134.97917880815754	-135.6984094899602	-135.78294793399888	-135.4166841902548	-141.51756370538044	-139.3098892504838	-145.74859915842552	-154.28932585181232	-155.20997345370168	-166.02714469655123	-180.6441854301594	-161.31242197208516	-233.26193489536732	-586.9929123512711	-837.6960626733513
6300	-136.7028415451134	-134.94227048750977	-134.91177104728007	-142.18940330274563	-134.19379185903728	-139.58580079838183	-141.9078534805832	-141.78955528099445	-144.73412834747737	-153.25072886094205	-162.48142418275168	-173.64462008134407	-186.8175608957243	-168.12331715782	-224.96489667688115	-649.3778015680839	-984.7845972982668
6300	-104.12691571689977	-105.00051890130659	-104.26521169252862	-104.59519544139245	-104.08594394834161	-103.52659195571708	-109.28246001902664	-109.72729587429815	-111.41710190434775	-121.02714860777392	-120.6834652009296	-123.75288132677905	-134.0441804541605	-128.26126593199942	-167.0503228130604	-511.02875194014706	-813.322870412444
6300	-156.64772808749655	-157.00954435356363	-154.27100442793494	-154.98889657131866	-156.63827727747582	-162.4150277134161	-166.79470421163322	-168.055992273864	-168.86232813583723	-173.0394644657364	-175.48322605856072	-197.36551380570052	-204.30754501581976	-194.39402299773502	-268.81481316514737	-650.3887622348357	-930.9043717762459
6300	-157.04635015907778	-155.55378270389647	-154.99233518928307	-155.68920386786002	-155.50716546132523	-157.0723469708036	-157.48807262323388	-159.79313577989254	-171.5961153305159	-188.47780287400812	-188.4661270656457	-194.72240642970763	-200.1059764191347	-194.16668449185943	-246.22107350630984	-624.8817689458455	-879.4316030645157
