L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
100000	-1942.6865381394102	-1933.1478606022602	-1922.1103469969107	-1903.6442039584415	-1888.0877330946666	-1867.4132209113893	-1838.7801590155366	-1797.9873523086972	-1765.8571072123536	-1832.3304531148494	-1693.0332665631558	-1440.2956779584529	-1211.4984989759507	-1817.1226589452065	-731.8219709470994	-15.095566626687482	-245.05116402190876
100000	-1988.092093114519	-1978.5734462403047	-1967.5279058031517	-1949.0375657291243	-1933.4482450194876	-1912.8313620471824	-1884.0961630763795	-1843.0754269344097	-1810.724310052555	-1877.735105064779	-1737.3831174697848	-1482.401305759185	-1251.257030848673	-1862.536214232711	-765.2060580315612	-18.646290964703546	-224.30713822985442
100000	-1905.67897113743	-1896.1304231814447	-1885.1114091534132	-1866.6439467085256	-1851.1185693667067	-1830.3902541073726	-1801.8306414804026	-1761.1557209437665	-1729.1472819301287	-1795.3062341987913	-1656.6887636255854	-1405.385655056866	-1178.130978797637	-1780.1012879641146	-703.149765275705	-19.694554811871928	-280.8784181634723
100000	-1927.314214066764	-1917.7734449421923	-1906.752017723405	-1888.2847064626376	-1872.7313145541139	-1852.042531352301	-1823.4360868416152	-1782.6580292958724	-1750.5678049619396	-1816.951563172441	-1677.839729620242	-1425.4929145657038	-1197.1697496852369	-1801.7476013655976	-718.9683886685918	-15.318450752769836	-258.29482596494
100000	-1986.4739856709537	-1976.9556171336167	-1965.9301089702435	-1947.4245033312159	-1931.834662942446	-1911.2229282100027	-1882.4861546089148	-1841.3956062724815	-1809.0029871428733	-1876.112990295643	-1735.5744056293897	-1480.2160984484597	-1248.74124155971	-1860.9201152099747	-761.9545155908693	-16.410178439884387	-222.29811258573443
100000	-1942.1860176183743	-1932.649666038867	-1921.6231610165664	-1903.148658634978	-1887.5893048620187	-1866.9184176929107	-1838.2819220978479	-1797.446162850069	-1765.291513380408	-1831.8276494437282	-1692.409701785285	-1439.4225898613547	-1210.4038942400475	-1816.6243696444692	-730.2262912044863	-14.254338081777973	-245.16338592186497
100000	-1940.6840240687454	-1931.1493306631191	-1920.1212329676923	-1901.6507699464332	-1886.0925870429041	-1865.4177181916054	-1836.7792811732832	-1795.9537681727197	-1763.8144189609654	-1830.3231823612953	-1690.9473693689997	-1438.0543077964185	-1209.1417501877197	-1815.122353310085	-729.272271890022	-16.38694912910792	-250.60981188279004
100000	-1919.243740644513	-1909.7042931280566	-1898.6744466955952	-1880.2072547296716	-1864.6685190074807	-1843.9614651145832	-1815.373871305638	-1774.67254330941	-1742.621976772122	-1808.8882808968453	-1670.0380395790478	-1418.2528002593065	-1190.4538014432835	-1793.6783111194334	-713.7781085402704	-17.692060529065632	-267.5927712980793
100000	-1948.0460794353621	-1938.5204674409197	-1927.4957737965844	-1909.0178234701978	-1893.4484066525984	-1872.784706897152	-1844.1403367690818	-1803.290175203971	-1771.122976852958	-1837.699853004116	-1698.1949219826606	-1445.031050324395	-1215.8341098030826	-1822.4961673391551	-735.1748858512798	-18.572045278837596	-250.67829172979103
100000	-1966.1445390125593	-1956.6137041471575	-1945.5873972431832	-1927.1010964664674	-1911.5269851725188	-1890.8852916715343	-1862.198273118916	-1821.2337890624485	-1788.969377947108	-1855.779420434428	-1715.8077162821273	-1461.6419669692255	-1231.406122989855	-1840.5848329609669	-747.8689317737357	-14.570323013145957	-229.49929851119845
100000	-1933.4515430098677	-1923.9119799650812	-1912.8844981303941	-1894.4128950068466	-1878.862422526208	-1858.1769158671104	-1829.5565201875002	-1788.7619352190263	-1756.6433343755268	-1823.0875147508227	-1683.862683122703	-1431.2763450724567	-1202.6685327184987	-1807.8848814818355	-723.6915600673618	-14.602561281154685	-251.85978958346183
100000	-1872.924893387202	-1863.3653660693326	-1852.3603271901434	-1833.9221539599926	-1818.4039179548383	-1797.6439483175752	-1769.168335522802	-1728.6666368707442	-1696.8419187393104	-1762.5728484147112	-1624.7591241104049	-1375.1913045194392	-1149.8257197586581	-1747.3530785016526	-679.8121729098485	-22.729005150090384	-307.9083199891523
