L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
32000	-317.33313278502254	-312.8525635936515	-311.4182517732261	-307.0168049224079	-303.53075791304434	-296.79529761742225	-294.415843337265	-297.21878081811724	-303.4728663690482	-317.7232912510833	-327.0568403335347	-352.6113285677278	-421.09002232848366	-339.3844782229376	-654.9071674547745	-2527.3940661082875	-4007.4836648403
32000	-365.47115751765494	-363.4266955435813	-360.45606098430284	-357.7835398598268	-356.0412918346724	-351.44039777481026	-353.18951898395477	-363.3537778238934	-360.60211181869687	-384.0663652878172	-400.8337539800304	-460.76382773684406	-538.8313748309333	-468.69339823663756	-750.2871379639688	-2714.443530903834	-4254.41422664731
32000	-307.9568819310003	-304.9485542380961	-302.34327274758624	-299.0776384916428	-297.46094639397415	-287.0256657662279	-286.9560115030545	-289.05114423558996	-288.36772268490176	-317.03039811964044	-320.74366090195696	-358.6500183257115	-408.3160084766867	-346.7360060065247	-623.9099292563936	-2576.561794981613	-4057.3076784941113
32000	-294.49439124905524	-292.77673246879806	-288.60973558769354	-284.92634668086265	-282.78676223860754	-274.30430291941724	-273.9268953218614	-273.64185809582574	-280.76705461832984	-294.8428914592898	-299.49295103758107	-340.5905944255282	-385.61031215179275	-347.89167752520564	-571.7926638944837	-2441.827687670345	-3947.10007556831
32000	-342.8665808796632	-337.7048158326676	-338.5877471831595	-335.5427526599782	-333.73756760642556	-329.34955629594964	-334.929617306627	-347.9797766038821	-340.7707808113273	-368.38876864500867	-391.25458500463475	-436.34503702483545	-478.334446450808	-436.0889630496877	-657.7409681240479	-2378.8328478244293	-3773.553937752816
32000	-311.1954548160388	-308.7103371064242	-304.9901974796126	-304.21334353418405	-299.2965635914867	-292.7569529329901	-293.65123585194175	-296.8735312509487	-298.64999091120706	-318.8119666805776	-341.8164681212848	-380.2475338319112	-440.75025719103655	-383.0766071326565	-618.7286796333681	-2623.045782270041	-4088.873464462104
32000	-318.6151338570957	-315.3712421571204	-312.7975765250938	-312.26959349920054	-308.07781777836993	-303.3877367132318	-303.704308116063	-307.502759715563	-331.1883639201517	-335.31501224759944	-343.904888525312	-373.83118619870623	-413.2708866474595	-373.07871746158867	-627.4142350024283	-2398.5270325362403	-3846.6110968590992
32000	-345.01591624593044	-342.5050001599266	-340.15105036781404	-336.3978144265102	-332.8365164814557	-325.65567780175815	-325.2679764011192	-327.0821713915487	-332.224561427148	-334.56710407047314	-352.55685871659665	-412.89381380688764	-493.60674173251857	-399.6974041372043	-727.5425868039335	-2775.680944127184	-4278.338311989239
32000	-322.160882323145	-319.04411169500435	-315.65986228300073	-313.30988920514244	-311.1349437737023	-305.0020422252467	-301.55667998812936	-301.5515124817574	-310.20138613701545	-322.84795989564003	-335.1068505122574	-367.81971082749453	-414.5026477158023	-366.68131559456623	-646.7917389377421	-2496.799004328292	-3892.1009924046166
32000	-333.02338470146606	-330.1072254663517	-325.6415118708674	-324.43638213934025	-320.54898951588524	-323.4969316684621	-321.21886957585843	-330.5320194070894	-324.8248051632653	-346.55880886844585	-351.9456080832424	-391.32112108916573	-433.49012262984036	-388.0590575597776	-649.3825800407744	-2510.128771509633	-3942.086085077475
32000	-346.67531367399965	-342.70459984535717	-339.6031390791675	-337.5798626171968	-334.6236913097436	-327.8501813961408	-330.40482932271675	-331.17360837506897	-334.1191123398272	-357.7959896838104	-375.15465757755135	-429.76637459511505	-477.80262858696574	-424.650849747229	-700.2517060922675	-2711.804722716703	-4127.78126449946
32000	-279.3084516957867	-275.2837729978858	-272.6948158342582	-268.3214019532854	-265.93605430700694	-256.7948354803165	-256.5283667998215	-253.7610660172059	-254.57678625323246	-273.3714578090982	-280.416578934917	-303.2435778600908	-351.3116179564729	-291.40283104472053	-537.8379438777605	-2610.209334424237	-4093.779699328715
32000	-340.032619288113	-335.52788794265285	-335.42839252853344	-331.2194646800246	-327.28561243361133	-327.0088421711861	-327.89634038286056	-327.64634029307183	-335.05145322413154	-344.48032732167144	-370.63850739665753	-419.39766095821784	-484.1903528866271	-406.05329164720354	-717.0610286541295	-2731.614590051995	-4352.910132831003
32000	-285.97416240911514	-281.5773451222956	-280.23965486593397	-276.48777435893794	-275.0901087630454	-268.4035142258779	-266.61816933672236	-267.836164125793	-272.24215118083646	-288.2184894157928	-302.7418712880381	-334.3242290992896	-381.27453281580745	-310.92526202294107	-584.4711656700708	-2777.8540019661777	-4370.445272256265
32000	-305.02054276859155	-301.7329590384265	-298.7914448036701	-296.9367628001839	-292.72825266899594	-288.0262692605596	-285.18256952606635	-282.55469395839225	-282.8329617314197	-297.65007321478896	-302.17336063154875	-345.0221145081877	-376.32075960962226	-347.63702482669345	-573.7268792523416	-2317.853725194401	-3638.1044832326434
32000	-297.5420290110458	-293.5406142876096	-292.7650302444058	-287.3966590094189	-284.71421755884387	-278.0284465196185	-280.98399882813567	-283.0059870031726	-286.7734169339342	-287.37968581910656	-311.102148150512	-333.83890179268	-375.70742847715644	-324.6108226460356	-571.6974066958588	-2395.9319068147784	-3834.605776346008
32000	-352.51104775588294	-348.26990578664567	-346.2594742971278	-344.9460771615561	-340.2046631843168	-333.9082435108025	-333.3307034856904	-334.10866737479927	-338.1679397706456	-346.9156779668776	-357.47546742675735	-414.3113824263053	-495.3128837092575	-399.5624328072306	-777.2332416841042	-2918.709333363484	-4519.034891634861
32000	-303.917494777544	-300.7456973455901	-298.12773110310536	-295.58166946554775	-292.59679253736834	-284.84032742624095	-284.49594838124017	-282.8593470471307	-283.1744116172289	-299.48650351650457	-322.49507258761497	-347.3558928802766	-388.4792942836254	-348.3909948279961	-564.7866863353418	-2274.819429940464	-3641.5586088450896
32000	-318.0548765553596	-312.83020231197986	-311.01211405099957	-307.9115932484997	-304.9859186292946	-302.06906282119274	-301.55852775144024	-302.7443731193192	-304.9380595277132	-313.3777301667873	-331.40761262783803	-355.14843513076283	-416.89021106639944	-366.0430589995071	-627.4847345411947	-2500.432323502065	-3976.4621204206746
32000	-341.61523793750564	-338.32404417046223	-335.84499614902523	-332.9660696212113	-331.0002747187898	-323.8781689698754	-322.5554281590696	-330.49781066336294	-327.67143996930974	-338.8483939752854	-356.6038605428201	-399.6068437175236	-461.15774932740504	-381.84194487555044	-721.3965997899666	-2727.9784542487128	-4265.205282564907
