L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
20000	-184.69429639918494	-182.56364823944318	-181.17118436496642	-178.30291528443797	-175.43717295542905	-170.23480781035062	-168.78220566729712	-168.15553875219445	-167.54335775287518	-179.63515794026515	-177.01845227136212	-184.11790660714854	-214.3404905136933	-181.48565273547618	-323.787653730508	-1449.30380453598	-2337.7481174194795
20000	-226.70888979592337	-224.06641176546097	-222.50118050597806	-220.47973973917718	-217.56062547911196	-213.6471695269647	-213.32897305132622	-213.79542097015073	-215.3171956915909	-220.0832428068431	-235.54547396211012	-264.73701629015795	-303.4276677673931	-270.29664545701496	-428.618817691687	-1839.1036260413841	-2821.156534734219
20000	-188.5014454219881	-186.6376127511786	-184.53086286035207	-181.46638734343006	-179.22866376059935	-174.28819732007693	-170.90118685922795	-168.97470109048152	-168.48067535547895	-167.13820955522795	-168.38022403978408	-181.46537057234028	-214.54690668178586	-172.83156977970265	-346.86837120286435	-1660.2438122135097	-2626.2190762001824
20000	-225.2711461681601	-223.3454290551982	-220.99590267217806	-219.34707609555474	-216.24768244750547	-212.62581620690767	-211.39322688352456	-211.62230988447405	-215.86027039117042	-230.61123658734758	-234.87261776966878	-244.7481238301856	-272.3139787207975	-233.99507682441427	-403.8622624249891	-1684.9827064446642	-2575.5087948423597
20000	-210.716253407729	-208.09587587912696	-207.0008405029101	-203.59525325498322	-202.1423231288168	-196.79450896534672	-195.18939438311207	-192.31794419275766	-192.6871789863836	-190.65630250080565	-194.4789671948719	-223.20127044773767	-249.92189374895244	-213.74273803611234	-397.0694705867624	-1691.9694959179324	-2603.733711490154
20000	-236.3369135324257	-233.82584163936104	-232.15876635862062	-229.7799837016984	-229.59931144827434	-224.17682306493975	-222.27531509161642	-224.36571934112874	-225.56205383223406	-230.93842561468503	-248.0648793429892	-267.1120338414609	-296.72789823403133	-260.20277317323735	-453.54928452585824	-1725.209492585003	-2654.609271867908
20000	-226.5652885569499	-224.5119933718254	-223.2235347865234	-220.8895485155482	-219.00967600625052	-215.19903182686403	-213.29632800112094	-215.7329718186808	-215.13701038483146	-223.5535805096633	-232.02283783103152	-252.26668865938043	-290.8295835257815	-244.0876796613839	-427.92602372840344	-1627.6579078782797	-2549.1618759325584
20000	-230.59661565565978	-228.17391263394947	-227.80787533317627	-224.4669341741518	-222.76520216722602	-217.64152855234173	-216.55655484494207	-216.55232637655467	-217.7573784264932	-217.62410224219423	-241.70264610123212	-263.1989494741234	-307.21797328164695	-251.98295060996972	-442.94543477356825	-1598.5653344373056	-2556.7429069911714
20000	-181.01125680508773	-180.02375296644757	-177.5946886059593	-175.33919206019746	-172.79451752854834	-168.72282139703773	-165.52374312547678	-163.26830616597994	-162.68367454937754	-168.8155622892772	-166.24086987266392	-175.89619455716837	-197.6059363789125	-182.86099692485942	-297.8316735467052	-1261.2916214129525	-2054.557420579346
20000	-199.05721150701257	-196.95715730392905	-195.8054515442698	-192.4023842795894	-190.86767070496737	-185.93358690631592	-183.05853353638759	-181.65942674378084	-182.7739103483716	-180.56228580702677	-188.8745562543746	-206.98390308387138	-251.02122746119377	-212.39022272998378	-361.854332453196	-1442.9338997395082	-2320.8527444414353
