L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
32000	-506.3733984409948	-505.44192156547564	-504.26146072764584	-505.7831680155733	-509.9045636522659	-521.957891912745	-541.2977526883201	-583.4937075022872	-611.44410132937	-665.1288338097979	-720.1678357380355	-773.39181998008	-816.6690857021221	-763.7103263140508	-1013.7148370058652	-2905.2523909175884	-4371.380919872693
32000	-480.7914242629264	-480.83778559008385	-482.74529485738947	-483.7328093784293	-487.2756363744125	-524.9911510197669	-547.5446603168162	-558.2313223468914	-578.93280467352	-643.8624571824834	-651.6246677242372	-681.2711213543341	-734.9063182076627	-685.6063506814426	-954.503328624907	-2734.1612806739404	-4184.68544924626
32000	-491.02586113035153	-492.06454334851463	-491.4647271826658	-493.55170595706494	-499.1948386448128	-527.7930351546859	-551.8826147069907	-590.9923684036328	-615.7059152646575	-643.4914728546341	-686.1731743029073	-738.2741486993019	-767.8279162510668	-728.6267659842014	-969.1211859520712	-2929.5539266311307	-4378.576075620063
32000	-482.3667382613364	-482.82398964098485	-484.84515422623394	-481.81449809064054	-482.1231290711512	-535.952507306512	-538.614334255547	-557.5119520564972	-596.3850295810016	-636.8730181122377	-663.7635590388207	-704.0605979294373	-754.8872292258808	-697.3422485113676	-964.4312156576149	-2996.1261739393985	-4533.582794658932
32000	-548.718203982973	-556.3877325310232	-547.2980529949295	-552.6385189584078	-558.7298359129182	-587.2092796113384	-601.4893349638849	-626.9673812110008	-641.9123174562934	-700.8912563298474	-755.310029212095	-804.2921461086238	-874.8995316532336	-809.1248294382757	-1129.4618524541938	-3040.024098182306	-4515.146215895119
32000	-505.9683204484302	-501.3437233359231	-501.222996100719	-503.68912048939154	-507.90318264045635	-532.0311355327154	-543.1525029553247	-572.7481303703611	-605.8006423632626	-663.7046204429454	-698.6242103864363	-759.2677273709585	-816.5376752011946	-749.1815297305469	-1037.492642327448	-3072.1739904136302	-4655.317982078706
32000	-496.31375756907295	-492.65308446407863	-493.19374399048775	-492.86933050564505	-499.2244803611766	-548.1479400634399	-557.5423335453247	-579.0943463814672	-607.8690478180964	-656.9089446921387	-675.2506324888369	-717.5135564363816	-765.1583968751996	-696.1611867885305	-1038.2018138854169	-3095.4285689266667	-4674.078866573534
32000	-542.6691035791775	-542.4674257005547	-547.3407661051708	-546.9693168582476	-555.3396001790092	-588.6640300404563	-586.4175567512315	-630.3426021225256	-663.329992266989	-710.0528548198049	-748.315573742896	-803.0857337983482	-873.6564093631648	-779.0043357951752	-1145.1226615224812	-3326.2212839130357	-4862.101753177855
32000	-578.3807062288026	-573.714119649641	-575.2669413809456	-583.4067176452926	-581.518041593915	-619.7961419603739	-629.9630259164433	-693.6756229299136	-702.3310705987958	-773.0826336883465	-808.9144067542044	-869.1553814172973	-942.4362333338736	-884.6845542109324	-1149.4263303229116	-3035.8242666333404	-4466.510157709812
32000	-529.9264211288613	-529.5021677518716	-527.6557284693943	-531.090121787587	-532.5399860479821	-571.3115188876053	-575.4445710889661	-624.4095512280236	-617.231294581429	-671.9591184844073	-711.0982441972504	-786.7068361031809	-843.4649657631977	-774.9686070523396	-1070.2881984331339	-2868.263722934942	-4325.045362409369
32000	-514.4136006540068	-511.7646995706615	-510.9253932650757	-509.7779977371675	-511.9199520763283	-535.6028330699365	-548.9643263015023	-579.223326563471	-600.5293429594217	-655.8196163167845	-686.5688723757013	-768.9257060970042	-823.0856959179193	-771.4927743591584	-1010.4571356747858	-2912.4603885654396	-4271.698822967422
32000	-423.43245483227633	-424.38231075180005	-422.59211779513384	-421.17436052839906	-423.4522013401677	-454.5219347620402	-453.6958238973232	-472.4312144801189	-495.26385663569454	-536.8259434829475	-554.3682332465775	-587.3321092963951	-635.6540938336193	-577.8548761692516	-856.339042317679	-2770.3810718847835	-4197.889369840733
32000	-497.93422595919105	-497.8255651806059	-497.1994270938754	-498.5924486617854	-507.0650381650718	-533.5943530384128	-542.0802126679099	-580.4352894328767	-613.5276563430986	-680.4072058273628	-712.722224414499	-761.0065205855306	-793.3643315036061	-756.7244947511181	-971.651491499917	-2904.7748515606995	-4376.778890327787
32000	-386.00690458360225	-385.14245669574166	-381.4108357577226	-382.705937585443	-380.78451355577664	-381.41278050075664	-397.82823020391567	-425.71863973052666	-432.1345843429289	-489.0893705697359	-500.9771969960012	-541.4845447261273	-582.6038833015403	-542.0103121176899	-743.8339884109347	-2627.508916867493	-4127.958975322703
32000	-445.4504348701637	-445.18337073139725	-446.3062012296392	-444.41776386592204	-441.89990975141916	-463.3921246781412	-473.54853637794804	-486.52953871445123	-506.64607031664684	-533.7883917399097	-576.8976371593886	-637.2510157667665	-704.8430171041606	-630.4137034995845	-939.2261789122801	-2847.064417075716	-4483.985633134086
32000	-494.3167260915487	-495.83928293399	-493.1928228531103	-499.8001499958853	-501.9649482913756	-526.9504597683296	-540.092955222169	-559.9258963614889	-576.0205593415593	-597.994850184759	-644.9222500282696	-694.8176424225135	-780.4012248860876	-682.7359133110494	-1058.0231048599833	-3137.187245927924	-4678.179728486857
32000	-408.4503848582437	-407.3300929048659	-409.7342462575652	-406.81084397105377	-406.2594186129383	-432.140498948358	-445.9694680558359	-463.98378560760557	-478.5846988022974	-512.1454706322593	-527.3689143630089	-550.8683826365966	-590.6273950441258	-545.4471014837228	-806.886337530167	-2617.2607994004165	-4075.535534773606
32000	-526.6414088305804	-525.7203933726196	-525.6528039640405	-532.3086421918854	-529.6799005443527	-571.9316202183019	-599.8379800682993	-612.6409390641543	-624.148457805876	-677.1269669981921	-721.5475088691693	-753.2805572226457	-816.6704904965447	-758.4645384648351	-1034.416853713866	-2885.2141694373404	-4308.2323427751535
32000	-507.96260899967666	-505.6699511294903	-509.94760917918177	-511.19683766505517	-509.65066295578094	-558.8953764059786	-565.3496439739986	-624.4667400015294	-647.8863871205657	-677.8245790880692	-712.751421817878	-756.2081566025624	-802.8077005264479	-741.3297373275209	-1052.8349798919132	-3036.8011363911137	-4582.559837167776
32000	-544.7455210471512	-539.6073914626695	-538.2496853733428	-540.2047740274752	-543.4615823598199	-547.6936680226162	-553.199090131792	-600.8286041422537	-614.8442395026265	-663.9822112388679	-693.2499449549409	-778.9441470250742	-862.2156501190443	-808.7792501374199	-1091.357989464635	-3021.1749634477787	-4323.6526858567395
32000	-457.01308591092226	-456.23832289951616	-459.4995111157658	-458.04038311618166	-463.112236800038	-496.4959527354803	-503.08337026696995	-539.2627633187342	-543.4317863061332	-593.9925251794125	-614.8069259053149	-652.6085095021461	-695.1498412300209	-628.6164374314723	-917.1178833800008	-3056.946942041879	-4659.140526877235
32000	-482.40311767567243	-480.83382352685186	-480.55757367516213	-480.83647672226743	-479.2141489274226	-494.7642619820684	-507.2288851326669	-521.6905138039847	-535.3340949941324	-560.3489608879711	-627.6726181908983	-669.1231642602949	-749.5968276055131	-649.2149196896153	-1040.565532130273	-3092.1087152494147	-4533.042707164816
32000	-568.3948959242119	-570.1205887768458	-567.9220851985788	-575.5409816001843	-573.6560305298485	-622.1585742103075	-645.6886637095525	-672.2189972898293	-715.0840020378708	-785.5401336439804	-819.3780777040278	-880.7122509762477	-932.1830336844122	-874.0998554757995	-1180.4118048855016	-3259.361061792591	-4846.5138848031675
