L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
32000	-349.04446779647026	-346.75492223168334	-345.00641687395034	-339.71598533997116	-341.31699832958407	-336.0478603106634	-340.11747998747535	-351.3899938274612	-350.2042262692845	-369.8485984300397	-405.74055389484	-448.6522642734385	-503.39324289280535	-461.53698354051596	-684.0269231997522	-2615.251575637947	-4041.385553500976
32000	-371.682349088157	-367.1927230407076	-366.78448574617533	-364.42072578025653	-364.13548571023284	-362.8197661782454	-364.1112420313762	-390.7381209590044	-408.5604963157815	-422.8301012151868	-447.0861422334735	-502.2749885269518	-550.6236585435412	-507.7441662740989	-742.7167140990996	-2610.3446623265045	-4075.339069966789
32000	-360.2396466599596	-353.9809411706698	-351.76607563746336	-350.4832769823987	-349.7460512739345	-341.0158525733236	-342.8688646605403	-352.35287978043306	-365.2653998409818	-368.88328943413234	-405.44905009713483	-447.3943310442992	-521.0284113335432	-440.0673256536477	-751.8178028583438	-2899.1109798571865	-4444.661974661262
32000	-358.1054225390355	-354.6533261292451	-354.02028055505536	-350.106578047751	-350.2427310039978	-347.2321720905118	-358.189388045491	-359.4824245312816	-368.62514817184757	-395.20219093871833	-433.1815387501525	-468.6864436573894	-503.45811315486446	-461.1948962396905	-691.2806502686674	-2482.4740355191175	-3840.9814286479423
32000	-363.03759854524935	-359.2117243983873	-357.5076030268821	-354.2375602524621	-352.7276779782806	-345.58460625898647	-348.56404428067367	-361.0467579066053	-368.99795666836206	-379.60431428875097	-411.7407688742776	-465.41855311971443	-513.6998341466982	-468.61486745606095	-725.7579775712695	-2695.509940459854	-4138.014395282869
32000	-352.44777174297286	-350.1698921508417	-347.96110681576334	-345.2700615428967	-340.8108061932038	-336.4287167460228	-335.6691970867214	-336.94383476660784	-353.4790569425633	-360.0729507388037	-383.5638797233743	-429.0690386375298	-500.87123024764225	-429.51237641863423	-736.4502612325159	-2767.924430019072	-4373.893291805056
32000	-335.47912552068186	-332.02471346089686	-332.26783859464064	-329.6049270746565	-326.38015590106625	-328.0122770971905	-328.8769535620754	-330.9261616451656	-343.27711429938074	-368.01791640023214	-383.42667015487734	-423.77418429502814	-467.5818377405292	-411.5807325961832	-671.5634067747674	-2729.5015201886968	-4238.83495555183
32000	-341.9326136853783	-338.35563584190334	-337.3643414694987	-333.7610773573439	-332.0127779484204	-330.1632235831651	-331.0217851285413	-349.98289683802585	-351.0001053057055	-386.76957218043947	-411.00946711563375	-439.2779024512623	-477.26262377604496	-423.9577097195041	-693.1686906036851	-2786.9263851825162	-4357.339974038029
32000	-314.3651273025071	-309.73374425396094	-309.41021561656765	-305.247597384133	-304.34647982953487	-295.625482113102	-296.84059345255287	-297.8498412525226	-315.5358939612032	-319.8787110197625	-333.51876695723956	-387.7770711374678	-423.54420456042993	-372.4032279381402	-643.2713086389903	-2466.5010374347567	-3962.2770967646147
32000	-357.20921972586075	-353.98937662593914	-351.7543338287923	-349.7048811623783	-348.65749350267726	-341.6012698228993	-343.49047835471447	-346.22220047666684	-356.77210095566465	-377.77535000211753	-405.524739803418	-471.17507463317844	-517.8701671716688	-465.0388240751953	-744.7633882291053	-2753.5916712327908	-4234.335245981428
