L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
7900	-188.40917847061624	-191.74635602660442	-188.71815374041205	-189.33797372248355	-196.35034033633872	-213.0016077452457	-212.85747612080468	-233.20935686312697	-234.78427719573867	-239.46697105822258	-253.50661829066055	-259.2554319111344	-274.37161873612337	-253.5525055201186	-323.49609637402585	-875.0909933761327	-1290.255730718109
7900	-149.98391659121762	-150.3887738199946	-149.85607497972535	-150.2598347183992	-148.60329326519877	-158.4001451855645	-158.38756772035444	-161.40609455168084	-168.3104562873124	-181.6697414046994	-192.9333667025183	-206.62356104293758	-213.63378388220931	-203.00145746823767	-262.4985152724572	-697.6978607842946	-1098.2863186687327
7900	-218.91174277378045	-220.51121114251694	-220.83650897219138	-220.31179687576514	-221.1498889497223	-230.81094165180238	-231.49561463802752	-245.49687614797259	-254.39415299272815	-270.40154562549696	-273.89576785086746	-304.64017291503126	-319.6876008570281	-304.0059268579943	-397.0959777012191	-836.2563922973084	-1145.9533277334394
7900	-178.44725401445774	-178.33762936132743	-177.71393784014424	-178.05504074848258	-177.44857455829097	-186.68904484712402	-186.99111386929422	-192.93796359920995	-200.1923027211152	-209.4273152489551	-224.63701132071085	-234.13998884863372	-244.63956748114254	-230.53997274652858	-310.0300250641196	-723.35164958569	-1076.9067245591925
7900	-153.99572534404868	-156.99283970743366	-155.14028202638565	-155.43459642985823	-158.69652117422808	-184.0220144773323	-177.47743781009947	-181.70185986705982	-186.58023899224222	-186.64049266494857	-186.2397333317246	-189.04409992967493	-196.24999832687814	-185.1874671875712	-246.4258062957171	-796.2153172192767	-1196.8354281636964
7900	-254.07116225789554	-254.72716182306627	-254.2348445442843	-258.16878109200695	-262.2813118340462	-291.41475441966213	-310.0471972869427	-302.94307991889195	-305.85014106347217	-326.27494644659726	-331.8239742636142	-356.18648796551986	-368.69584659652844	-347.5657837524401	-438.2990508856084	-1039.9430186689092	-1439.5362997521913
7900	-240.4320849671709	-241.62263733094284	-243.2100588060589	-244.5320975198534	-244.8307303344186	-256.7351968135407	-268.16414464101473	-266.9344903151871	-278.69695667215854	-292.57963735168556	-303.97592760707795	-324.9612203141982	-346.49299297294556	-322.1860090431784	-442.5918662014514	-896.1177001470624	-1243.8503186535522
7900	-151.41442553070866	-149.96278076956457	-151.25360328457856	-148.98128567804832	-149.63384717569872	-154.5263425699586	-156.7465176502241	-156.78561377528703	-168.87303598374388	-167.7035476188799	-176.18297877218234	-186.58727207233932	-213.11380960493366	-197.75413082509075	-261.6464816458524	-772.9084519936727	-1179.204707767085
7900	-209.45474055923972	-209.13796032274365	-209.9717882903196	-211.6339822264246	-212.46086587685954	-224.3431510653875	-224.7867661503028	-252.0988795122293	-245.08421789275866	-265.17573508288854	-276.81387121404606	-303.6517102094302	-312.2036321391772	-298.42218649085305	-368.19368271087455	-881.256897281733	-1296.9892415177615
7900	-200.08428988696008	-200.26058786562828	-199.26902659446893	-201.2445636492416	-202.2797524512728	-211.35919234814457	-220.24375319185305	-235.15102003824876	-236.50239980444678	-261.83587838382414	-269.13097786218106	-275.9571113785437	-290.4102152963363	-273.0980044034056	-343.1316596743331	-962.5489544957048	-1405.2553715836252
