L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
13000	-118.7221469627314	-117.52237022552002	-116.16587233858502	-115.04135860228232	-113.40442088968348	-109.30672879048717	-107.81981297902605	-106.14644943013086	-105.63579389482445	-112.58968264091979	-109.94387683911661	-110.3903280320169	-117.15678701628879	-110.34320676016422	-172.23474495069183	-906.2357712851951	-1458.5269428073939
13000	-133.53591039322407	-132.43786519253553	-131.29250763609045	-129.070292289329	-127.82507056324673	-124.18576860991259	-122.40747879630527	-121.09324716715965	-120.15209917656065	-120.82633059813821	-119.88000412435588	-126.52039927687532	-135.34165912379484	-126.29694621711842	-203.15488501293692	-899.5196006000521	-1434.6813427958298
13000	-167.21362949468357	-165.15871549462142	-164.6562630266713	-162.2523865897884	-161.75350773697326	-158.95652180630242	-159.55121155835738	-159.41528600480615	-161.30123307306465	-176.30932445115346	-176.11754644957472	-182.90064329821246	-199.21993602964554	-181.87444881425333	-279.9673717067332	-1102.3423056758882	-1702.694371479346
13000	-139.35593057864784	-138.19547113591872	-136.75441096455003	-135.5341908998175	-133.20986239710302	-130.26295194276506	-127.91653594417619	-126.68247402134838	-125.73228702834844	-126.19789556453561	-126.36113701821618	-141.632090283595	-154.45085345374852	-142.0002104570354	-207.41432263126495	-884.3684335033212	-1442.3736188965654
13000	-157.40724967240155	-156.06037999847945	-155.654855448381	-153.4038866672014	-152.77567680953146	-150.7569794408862	-154.28759508285546	-148.3036164781503	-147.2421366245754	-152.32508987241462	-151.8409940652768	-168.21058761443814	-178.70657719538318	-165.50470888565	-266.3270780902	-987.2654341289735	-1586.8999674769684
13000	-143.02228520343795	-141.5529778798586	-140.2170301657604	-138.3059246150378	-136.6926093171444	-133.26260737046837	-131.109024384189	-129.3074389031569	-128.29091346104684	-128.90956921019003	-126.73256600865867	-129.44662636032663	-140.9190446261409	-126.38576269508167	-233.10731477018268	-959.6721595530897	-1518.2575662643371
13000	-150.2993758510222	-148.42506022536284	-147.2659070875413	-145.4716604033376	-143.97264042118235	-140.28318479676312	-139.12119809180578	-137.49224946412974	-137.7473105221828	-136.90467542898998	-137.39419495498356	-144.69435647214394	-156.22033402241553	-141.5046536626671	-243.92670698346967	-978.6416790791451	-1527.504423603115
13000	-134.01117277002186	-132.67544761951646	-131.80484208618276	-129.72465179656425	-128.18484309947257	-124.64435777686184	-122.22453083267295	-120.90276656217357	-119.63144853687083	-120.25373111729576	-118.38921083707756	-121.56626115294047	-136.01806477548453	-128.18310666951214	-202.9857217045849	-862.788797166394	-1414.4254275555725
13000	-173.81328561859377	-171.21157159180936	-170.19361725716627	-168.67129632039857	-167.0568567595661	-165.14430630136292	-164.2125923547451	-166.32211009123992	-166.711392463328	-170.67767047513277	-175.84844813794854	-200.39803235360552	-222.1680445819805	-199.64620411042404	-300.97323692840394	-1071.1082069790368	-1669.6014444384157
13000	-167.4034102747148	-166.14169696470205	-164.70908180433406	-163.61159898022598	-162.1935506729617	-158.77376091808983	-157.16896139434763	-157.27438096344483	-156.6592291601896	-155.2220561106509	-163.31844290066698	-175.40200991499265	-200.55504123213538	-170.3408485647682	-288.9122073639713	-1210.8943981848092	-1820.9442047748148
13000	-129.7212212420594	-128.23256032724012	-127.16547566052793	-125.36097847354426	-123.93349299611279	-120.52349774041286	-118.46093069583763	-117.23261310675491	-117.01995104044482	-116.64500678848906	-117.04173098809306	-128.5133231010614	-146.18738073447452	-122.74491891218358	-208.8621845038182	-1046.905813457124	-1686.019893010228
13000	-146.6052662043768	-145.37890476030057	-144.1532405598069	-142.3585547958565	-141.29198546356994	-138.19610088612086	-136.06617620652312	-136.0314495736196	-135.28495753114916	-136.4259593288612	-142.22887668415174	-154.93877588481286	-169.30868111240395	-146.24913865806383	-272.4815001762229	-1107.048038063559	-1750.1899190533447
13000	-122.9216337516718	-120.9637471286536	-119.95436810898147	-118.41328065195239	-116.83974113974725	-113.29299637521633	-111.7097850245694	-111.39154186315169	-109.87084019932054	-110.47137189786456	-115.27644195816521	-125.19000280847067	-128.72602514891017	-123.10531045916642	-199.18876995199676	-932.1733519382401	-1549.3455084412979
