L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
16000	-368.0843758377643	-371.17959872263754	-370.6256804176648	-371.8760048315689	-377.1941355200648	-415.18142373737066	-414.6556843134433	-442.81497824117673	-462.6725044347652	-480.9752004206573	-495.03347872451707	-539.7106552413916	-564.376375558611	-530.4047633927622	-680.0670364782368	-1789.7360380067385	-2538.1878749787197
16000	-308.5244975813439	-306.15466953029033	-308.0642019677331	-308.5210753626398	-306.47796637811484	-320.30213181285967	-324.0794097689813	-340.22708834406205	-356.0176311420149	-372.2529655883018	-397.58381364837857	-437.61018282842883	-470.9722624524728	-430.5858043393243	-582.087838143296	-1411.1907770698492	-2153.653529279261
16000	-303.5012377824012	-300.31811701173154	-300.867483256677	-300.7678449333898	-302.37774009529954	-302.8331066790635	-307.0325162207227	-332.68363484078634	-331.35659813440407	-357.72977716605504	-367.45479829896396	-408.8560793217099	-443.54664021875817	-395.8669683008847	-604.2519826209497	-1756.1193377455413	-2570.7077318089473
16000	-365.6315022018618	-365.68251048306183	-367.11595131867756	-372.91801136031626	-372.7262486016964	-419.99444634549184	-419.9655970948571	-433.0499002943839	-448.8896497133526	-470.74444884914544	-484.89648705288266	-520.6063280375929	-565.489544193653	-522.3931866305749	-708.6566675936889	-1711.883433803879	-2491.589145472144
16000	-222.33586577074342	-223.76810352116428	-221.20969992735579	-222.09932253029493	-225.98373809403827	-234.57200831981277	-248.3240342718887	-256.2841015827125	-259.1661794019381	-280.09737196646125	-294.526934191774	-300.7030689741188	-321.3189763964429	-293.2869301669029	-408.05845518025865	-1304.77892749983	-2101.558481627233
16000	-337.4889327774577	-340.7003860787312	-339.35811618331974	-340.68024154803976	-347.143075104475	-380.302063721496	-395.47150066829903	-409.3500069016601	-415.4077051597966	-436.6819901706486	-455.7565104352154	-474.4578685904938	-500.4942745043969	-459.6144271718618	-648.5518614148974	-1645.7259750860846	-2444.307818437597
16000	-285.42557860746115	-287.91394812687264	-287.4926290602935	-287.8493272900935	-289.4851865787701	-306.7279547302576	-320.9909968981638	-324.4073670076011	-356.6078802820734	-366.8709766236386	-380.03458839330096	-388.80212876908865	-424.09287202402027	-380.3313301437079	-523.0612726627437	-1523.033488513386	-2240.348119326682
16000	-389.68198098864883	-388.8450644173647	-389.2733276403679	-390.9473962018001	-396.7897682932363	-431.32865288762173	-452.14907060914874	-462.74553483751265	-480.8229335937989	-500.8207989648268	-540.8356157806448	-579.2139049080344	-623.8623980386774	-577.6612740506929	-750.164108496391	-1757.4534035243796	-2531.5734904023816
16000	-351.18429224526284	-354.01665782971116	-354.5592861835272	-356.2624799120268	-357.2964780962057	-384.09830677750926	-383.7956072983723	-400.35000641220154	-413.3444600045815	-455.725845345274	-485.19497159155435	-510.61389322640247	-547.4565615449802	-498.90128361977196	-684.5734527681133	-1748.6301666339714	-2534.922071475304
16000	-325.884238376148	-323.7596100203819	-324.852890207827	-327.9720704221322	-328.45394708032927	-346.14114042351633	-361.5382573471745	-385.8434439765513	-402.86795776372855	-419.2048434606519	-441.8078250809806	-480.0324767882829	-510.5953978637386	-482.40151286693043	-600.4247834565743	-1625.0995650688953	-2395.4903044288617
