L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
16000	-219.95412474092322	-217.54502979562884	-215.5658320891113	-214.55728052065706	-212.7150550781054	-210.40408128370697	-211.82167782629824	-216.01710870123517	-226.7628427408794	-226.89083759695748	-238.6290800961184	-259.125843075352	-293.62809040542874	-250.7435550518455	-424.33257680923333	-1547.7983144501338	-2396.012949232426
16000	-168.0868763649445	-165.50193615816428	-164.39065309242864	-162.17557335025998	-161.50509349737524	-156.71086647799058	-156.03114017283718	-155.55691976820498	-155.22759719551533	-162.81618568120487	-166.80529991009846	-176.80976890195225	-194.672127376557	-172.11093671968698	-283.3679599400402	-1194.8699149121774	-1901.2426124679255
16000	-169.09325954904452	-167.53717283126775	-165.9366775020434	-164.10532037941965	-163.08995301152336	-159.91190124859028	-157.68327939291618	-157.977108794818	-163.27234727599006	-167.75984830338203	-167.10304662833104	-174.42761078383725	-199.71186821827152	-182.49993459749695	-299.4373025179161	-1190.679359820651	-1916.7552528801032
16000	-170.15588948052869	-168.89379522447229	-166.9537303899773	-165.2674540868118	-163.49791779709616	-160.405922171962	-158.3293973913709	-159.48224752404124	-160.15838439224046	-165.52830366481618	-170.73003540931512	-189.48369363318534	-210.18828927914063	-184.80343793256407	-300.294785896087	-1166.8064393660777	-1907.7550007365055
16000	-209.3417463486211	-207.85291968521085	-207.28975410534534	-204.64952747772546	-203.66770423230193	-199.158478279396	-198.5352475797696	-198.62454905109905	-200.82249008223917	-199.97721712074315	-209.92482468759349	-243.4806163929864	-278.61777712217315	-226.31391253420327	-399.86845530475347	-1479.9795578181308	-2290.4342099430114
16000	-219.12545705081422	-216.77750562950348	-215.68338350661335	-214.93519387553667	-213.37534171802662	-209.7930424735413	-210.52016737107112	-212.49798796931427	-217.23157342737815	-243.207097624328	-245.42497837845002	-262.3904367867959	-297.9700852022416	-256.7231314949506	-407.09614012363284	-1423.650229823318	-2192.756899320455
16000	-158.91261724219157	-157.24232679979858	-156.41430733418483	-153.982429506764	-152.60560496766223	-148.46801614484806	-146.66406113357107	-146.73005178649	-147.12127146369355	-151.48679817737738	-158.01286170942805	-165.99945382110522	-185.83385046427972	-158.91536008794395	-283.7704110148705	-1368.7088282043674	-2159.0777435212026
16000	-194.73513711868543	-192.78208411963772	-192.56269821784335	-190.18999887016696	-189.40684094740757	-186.2470064609653	-183.90012697214004	-183.40787227983793	-184.55400411948165	-193.8642575143147	-192.92761034353185	-207.64583893931888	-220.51894322835892	-206.5342765370362	-333.41940266154484	-1162.0747905861163	-1760.3843002732049
16000	-189.75957941851328	-187.34278054534462	-187.2814764595893	-185.44079726128666	-183.4334791791396	-181.19523849996557	-183.33551377400346	-187.448955486186	-185.95618374406544	-189.4057965040138	-193.5352532268929	-211.91976017145524	-243.19873409346928	-218.71935201813508	-347.05854417931056	-1365.7967371321529	-2085.677340138408
16000	-221.75392724752885	-220.2530525884468	-219.41272775821787	-217.44456149646732	-215.4467874760532	-221.3834974803435	-221.5348355650578	-224.64700032264173	-225.29463489159232	-237.87057651355414	-239.74258098402868	-262.58814006452593	-299.9413840486646	-286.36313542288207	-375.6835291629198	-1216.8005395821117	-1871.4947874674326
16000	-204.4357609643769	-203.35326395586088	-201.59475548103424	-201.11685795003345	-198.96494560746999	-195.62663309858695	-195.89699026697028	-196.39660208779128	-198.6565565955628	-202.8040967282861	-215.01220611630436	-247.11422595894388	-274.03541133045275	-238.20934054090273	-391.64142794882855	-1363.0551850460552	-2168.6799380297484
16000	-186.51462828432184	-185.063873279217	-183.3686440654825	-182.2138692443492	-180.35773584462711	-177.18610513094453	-181.46988053924187	-181.4387439852331	-179.64899835817175	-186.24703664023417	-191.49848003591362	-196.78305945698747	-219.89688181242818	-202.4676402946948	-307.5752150946197	-1164.5878422039686	-1831.7707669642575
16000	-222.80975606133768	-221.16056463115456	-219.4109753662842	-218.92149912003455	-218.23449557447478	-213.76834776314402	-212.98120022517193	-215.49641986925627	-214.8686821376687	-212.67702961413238	-230.21696108862932	-258.14381604604455	-316.1686066093886	-278.84093998100695	-422.2830820612441	-1382.8943452547096	-2187.6765114289647
16000	-195.36395761824912	-192.83198631185005	-191.6853254953132	-190.25271996252775	-187.80839460305376	-183.5508030218754	-182.17210768006078	-180.65045831658057	-179.99137897999137	-178.79171331366905	-179.81360620882057	-196.27887473489045	-223.91445566090286	-191.47370372026083	-366.5764895351245	-1306.9781252548903	-2029.807398665223
16000	-188.17673290089758	-186.77337657894608	-184.83138045560594	-182.68551362753325	-180.95861411421203	-177.0065173319415	-175.48557373767156	-175.8121422973602	-174.28113180460488	-175.31113487819582	-188.19772773965474	-203.5153690442957	-225.00846884209122	-195.38641709123166	-354.6699336010288	-1396.5823815074666	-2091.2704946143594
16000	-188.94320707255622	-186.31868625362048	-185.2366845679794	-183.4611457131378	-182.07310261545945	-177.28803639189874	-175.35860996972434	-175.23290474701858	-175.70970377711959	-173.23793511261061	-178.11792755381384	-200.4483397664563	-232.64860784261256	-189.1864633356783	-350.35028010096465	-1411.4076497684503	-2203.9604207942834
16000	-202.7384407650774	-201.58948023151237	-199.60278842227385	-199.04928409969185	-197.34310427943012	-200.08279113316766	-204.5686586820568	-199.09023102296882	-204.63386963833437	-202.94664531509446	-214.04956137780462	-239.73168821268004	-264.69920178451827	-238.56211213912164	-367.43940004114336	-1310.7159712394541	-2001.1201681275918
16000	-155.317349866118	-154.00426080310513	-152.27625853515565	-150.29663629596882	-148.62400240819326	-144.33218911236648	-142.95350156803366	-140.81128412925864	-140.59786548895417	-146.44686522326856	-145.7851213605834	-153.55020879952284	-175.37096000248337	-151.98471183666834	-268.71736810141545	-1290.7597700887343	-2065.2600975414052
16000	-159.39217495752203	-158.00710441740364	-156.577225461983	-154.08882594113672	-152.98775619115895	-148.61436122339256	-147.77763363374086	-147.42794986802792	-149.1000340180685	-154.6875174668595	-162.28913854351438	-178.57869304670857	-192.55110043518977	-171.74374340163814	-278.53621414225194	-1262.6992977900647	-2036.5975640331906
16000	-162.3155732941684	-160.64840915028287	-160.29130717873886	-157.17669648394343	-155.4707573042334	-151.15578705458253	-152.20319619562048	-148.67265043924752	-148.62474291842634	-154.03032153468547	-154.55462844276283	-167.144450443187	-198.69330493366445	-153.498247526581	-297.01933346313814	-1343.7143588120723	-2166.571984436196
