L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
13000	-285.1777457484355	-285.62858170204004	-285.1627993290777	-288.8840298713546	-289.36003464553846	-317.63718311649615	-320.4893399423409	-326.6108855689637	-332.9199270453583	-358.0261733041816	-372.1320737949172	-406.26924117559565	-434.9419873486566	-402.59749118682316	-545.8048877135882	-1331.0258693645492	-2009.5835707026881
13000	-228.0173654265379	-229.19981634765105	-229.77758743051098	-229.76250471005446	-230.2719660529293	-244.3770659875588	-255.25496045709403	-251.6958509534273	-267.00361711089016	-278.4965091659701	-282.50067476068864	-292.64598252254706	-304.7163529194568	-286.9931025922989	-391.3123157757726	-1278.841204418612	-1887.6007597745902
13000	-221.6328422770986	-220.44175010914466	-220.8247587327474	-222.6259901823223	-220.44147738874534	-221.99827544086648	-230.4027922518924	-244.55799562332422	-248.80340467983686	-279.4518142735312	-287.0815927386956	-298.5194489554294	-313.7315727724986	-288.7927692694722	-396.24687347251506	-1319.8741453428927	-1985.9368976951948
13000	-232.36186455437795	-232.9837925621013	-233.2308609590635	-232.45107906380483	-232.71862910550604	-239.1126735724285	-244.4656766444543	-248.86732025011185	-259.58410941015643	-273.4668349194741	-275.8146303533179	-294.7462743076232	-311.7166949783241	-285.777397781898	-441.5161989410982	-1243.1475665972382	-1820.0224613777573
13000	-199.17933019930177	-198.5354359703801	-199.5291622483221	-197.98371049184942	-196.896003756906	-201.0893353104165	-195.70487780863454	-200.52103489026825	-212.81897252409	-227.39392732908678	-232.9803985882978	-252.03641858172347	-282.43457404172	-240.57001630133973	-363.9535821060805	-1220.3551041761443	-1868.3734661198655
13000	-304.67163353843046	-308.0519669059309	-308.3161398382823	-310.25836454504156	-309.93885933095623	-345.49961976087627	-350.3772393494394	-358.37862844804073	-371.49620878979795	-382.0185672143704	-390.93264903171456	-426.2110512600603	-457.55371180791934	-418.2371639515078	-603.8751382239013	-1442.327943776851	-2079.9919367095945
13000	-231.17165148454822	-229.54636305810274	-231.6007942364132	-232.85261638633955	-231.62213530233745	-244.14433750709918	-237.22507266427843	-258.3404179968884	-264.0263477863769	-274.21947350811985	-286.31244815586894	-296.6955284682306	-310.4976076349078	-290.1944981101221	-406.7110358617748	-1212.051942495308	-1787.790512525241
13000	-233.4972999745818	-232.3535178527969	-234.30078466213305	-232.61698561806247	-234.32624881267262	-249.59720594380357	-244.73504283089105	-264.0343408533532	-266.78646162242	-277.1000900044125	-289.78976286056115	-304.4936692402643	-320.2374032948809	-301.10421764404555	-404.9856580595556	-1134.8232836822172	-1670.1667606334718
13000	-177.98989985587903	-176.0081290874519	-176.12141713882585	-173.5992955302982	-173.57864480599912	-172.4772981554106	-176.80060440197875	-178.72222271072513	-179.01984816468703	-186.84336787357552	-191.58477565969628	-206.82932752248982	-221.16121565113636	-199.68872529808695	-311.4546015433928	-1109.5483469608052	-1736.4655540418667
13000	-222.76634758816866	-222.0079070321883	-223.66230122264773	-222.94233254724074	-229.41863881909225	-227.2345995913915	-236.1354898192113	-245.99803292485154	-242.88046229786764	-255.49683917075367	-260.77837899267575	-279.9096938994719	-313.0579360534535	-279.512762171245	-410.8601348227757	-1317.580116900982	-1931.4133754556497
13000	-199.1774903391474	-197.6600103569572	-197.76278673450503	-198.45065547839022	-197.10685816716614	-201.4058743925849	-205.16552900807568	-205.5912317929173	-221.76967112277384	-232.88810683293147	-235.79158406976458	-251.75453819494493	-273.1512756034728	-252.25435893247942	-346.56277387341765	-1085.3636649821076	-1682.7263656321084
13000	-207.0546178060016	-206.2182394275664	-205.69696426183827	-206.62198000780035	-204.14046611780918	-211.83242891516642	-211.00728768010055	-219.7795147604727	-221.6916206169811	-234.72011095608144	-245.6055475266434	-273.29209475229254	-289.49678216195343	-270.231954598789	-365.4156509390038	-1043.8298759339796	-1598.5957574331405
13000	-229.27393388685007	-228.81353629559277	-227.8260925762027	-227.63069920149567	-227.64760631813573	-230.98999874518518	-235.48597175151176	-247.15072262155252	-251.7150145565842	-250.1185443303365	-262.03076981688275	-301.6055460409706	-340.36627239870876	-297.4218600217194	-422.878328288893	-1133.2298424450096	-1685.2844069340306
13000	-205.79646419234436	-203.26864568047657	-203.57353669465053	-202.02399545160674	-201.49488734942904	-201.45346624111988	-200.94123397042034	-205.14715845520993	-222.2894333099316	-226.2826554273181	-235.45136387611154	-264.10231312285646	-287.84823727709687	-254.8644926297576	-386.4694642724478	-1137.4920093941575	-1753.1973978371839
13000	-193.93233089773912	-192.73120194265198	-192.4158306277741	-193.30342105142427	-191.62811054245617	-200.17127697322718	-202.25595444157418	-206.98004160710587	-212.75823602711563	-217.04122751679677	-218.6578157294815	-231.10526553654734	-246.64543192278603	-221.60911237226998	-361.17589219412844	-1172.0948281734888	-1792.0643752795243
13000	-216.12842257096835	-214.49403313215004	-214.73973323719406	-214.36512024510398	-214.26506826539244	-218.61045556877335	-218.61536813961519	-222.90481101746343	-233.21201298827603	-238.0925068491986	-250.23026395599052	-273.91524510586027	-295.2832392200369	-280.34607067598824	-369.24546934213834	-1200.9104430778873	-1741.9123508307164
13000	-245.55558522178396	-244.45903723075816	-243.04419616597968	-243.7093962866531	-242.57793189662743	-246.28257394167028	-248.60289534501354	-252.78833253921076	-260.09359012368975	-267.8969519295934	-286.06653406017784	-312.6264412959007	-348.6715266153048	-299.2289369028825	-489.9579997340714	-1349.3868160451677	-2012.868205894973
13000	-228.6622158075253	-228.54249567558946	-228.62026400823055	-229.59671409842431	-229.51532504912387	-239.7211960912823	-240.83487339155477	-258.10720016242533	-254.98525161739877	-281.97849520286326	-294.35767667437005	-313.89382972604585	-329.23335504258677	-305.74876822048446	-417.14023244526646	-1271.5236364898028	-1908.9756574900807
13000	-245.3605524197672	-245.21718935353758	-244.74313065949974	-247.17089088548212	-245.95021034741725	-267.0403014158436	-266.7141940958692	-272.889543736305	-292.3508974708837	-317.1850873268792	-323.80225892720614	-333.4607278147113	-353.1241820637028	-328.897605746333	-445.2184169539738	-1113.150113436366	-1655.4225816726605
13000	-236.7146445233137	-236.87434621404205	-237.27593551700903	-235.19661330221118	-235.92431009010747	-237.08419896952128	-244.72428245030693	-255.46121790322525	-260.7064233826004	-286.16337795596655	-302.0125952351006	-315.4094455744694	-334.42375609647587	-305.4418965628577	-445.6644166703903	-1245.7215775854809	-1868.361283741089
13000	-184.24572812299752	-184.4010340514339	-181.10033399951968	-180.81364406718092	-180.96436272517101	-182.86307795675518	-187.16146902486182	-195.6829380090204	-197.91484689184523	-212.4573235263642	-218.80471071391497	-238.53907935327663	-257.45846047343116	-247.37341620666987	-315.8178891308464	-1108.8098186691211	-1728.1509772181064
13000	-258.6255681918287	-258.0736422585271	-260.6569742533358	-259.92911043492893	-260.33999635938534	-291.716563985887	-296.0719195771025	-295.5160345164162	-306.2495089360404	-328.57008795632663	-337.219889752755	-351.8513703741033	-370.13225676186687	-362.21940359231604	-449.6251617693191	-1126.256328268874	-1672.8858949782225
13000	-225.57962760696762	-226.72944687955248	-226.37244450624007	-225.4577432327838	-226.06657120200106	-238.3076206521685	-236.97910513580288	-246.95818422138686	-246.59636804441053	-245.38659579395792	-256.5928605816157	-283.40600080566276	-321.5257968457291	-295.3712249119432	-410.73264185022344	-1149.9941824760033	-1734.052390253609
13000	-215.1353165881871	-212.92403917547085	-212.0350230082319	-214.8247936161256	-214.65855874157575	-225.92703582827983	-226.2737009747747	-235.461524169599	-241.351739403429	-247.9414903284654	-264.6043502246324	-282.2078531239201	-296.55578809869115	-274.64484117236657	-389.0098934472755	-1225.2314500345944	-1833.991741556797
13000	-244.95599044444583	-244.9553850402767	-246.26526034543656	-246.94380465813677	-247.83632755823933	-259.26719115174865	-265.65994736622486	-272.09010407927747	-294.23118951742174	-324.5069943511922	-330.7598594788977	-337.94737204990014	-359.8956655782136	-332.68285299682003	-443.66109478730715	-1142.7792824440533	-1717.5636924341238
13000	-264.51290513833317	-263.28442926118447	-260.5090280238057	-263.34222376679844	-263.2116783031985	-279.3471948807985	-268.930941082855	-304.943897976262	-295.4810881975616	-320.74041325350447	-326.8132487931308	-343.6953288834428	-370.46779991041836	-334.80184663565666	-476.10530804111534	-1278.0558015255508	-1853.2500823544249
13000	-276.4715192710937	-277.1867273103325	-276.96419376852816	-278.4279522983221	-275.6240316956792	-284.076021290813	-292.028633920432	-297.8936089971505	-306.3433903705927	-326.38350980598483	-353.29174470383225	-380.1414813188863	-419.2021780463651	-367.52760089478915	-536.4787930535509	-1350.0538391668545	-2011.1683616824023
13000	-241.250079365684	-242.96305211074602	-241.78289250560798	-242.3512936066823	-243.71339672611794	-261.89378077423663	-267.56058562511674	-279.5053679469093	-293.1436691414103	-320.235511127464	-333.9529593827203	-343.1173334011195	-353.88073010387217	-339.79046270674365	-429.01205106363346	-1173.3474430274673	-1773.530027890828
13000	-224.4152324796658	-223.0427537061487	-225.89053519200962	-225.22823736037066	-222.65521209790998	-241.443800916095	-242.15145378598606	-255.30075267592784	-246.9876020422025	-272.077142496897	-280.5273303552872	-295.99158338402776	-327.2331776201143	-293.1467099792063	-411.5991006093815	-1208.802077167412	-1809.1237640437685
13000	-234.84921607782007	-234.6037235058234	-233.69241748310495	-233.5072543669551	-232.59057327810515	-233.12429058010855	-240.67413619117153	-240.05748770816584	-250.53168523635833	-265.79453114691063	-276.67381250365037	-305.69939526379983	-339.6895427050118	-304.19137223115945	-430.9226789195776	-1169.9770167179663	-1745.921863232963
13000	-248.7169732000766	-248.59866595090566	-249.37673428558864	-247.44185056491096	-250.10071554655482	-258.51733654587423	-259.78905629183043	-273.8681877351293	-288.42053242894326	-311.0598206974302	-316.81456501813517	-343.01206274939244	-375.9305945181732	-349.9633976467449	-427.55726923891535	-1242.8234013770268	-1832.6947858747315
13000	-250.08688852453162	-249.7090562409074	-246.77409765800613	-246.05992721901487	-247.63148696448982	-248.60649948145752	-250.94144690873608	-255.83071384423218	-268.1576466257688	-291.2131342418357	-295.73194292136435	-321.1857756564582	-353.57272854692025	-314.7006870954766	-470.40058865443535	-1291.6776512534723	-1886.1691824932918
13000	-240.9575123395328	-240.2957980320078	-241.1234288983793	-242.02719863303187	-239.26376069108173	-245.10778875248786	-252.3158224163573	-253.21909244657266	-266.3717408876988	-276.8935309245107	-286.8214333045596	-311.07854684613125	-345.6240267858269	-291.4241809211308	-472.528544957841	-1413.4332433938139	-2102.623856205944
13000	-316.15541577782585	-317.72770309166987	-318.64209792554215	-322.08393123839807	-320.12337400192985	-337.6849882950632	-350.2876813229781	-366.13469636314306	-390.7969228834863	-429.4959012337369	-431.3966970792064	-448.52566115840654	-483.76858948896216	-436.8591164181291	-603.820307339436	-1386.535518564749	-1988.1509811727724
13000	-242.03861870270808	-242.10838242642322	-241.24660108837273	-240.5508413605014	-242.05693621467188	-247.71956853143848	-258.08344103571557	-261.4958453445683	-262.2439142858935	-272.4310070771855	-293.3574385230114	-312.5284276387434	-342.55916558582095	-308.77202750342565	-442.657351556628	-1250.8458318723826	-1908.102422719914
13000	-270.5553042457641	-273.29812425156223	-270.8598094562983	-271.54755291599497	-272.5170300334997	-286.36118320000617	-291.3731539797698	-304.9702705465338	-326.10973892460987	-343.2158640124487	-349.5079064403898	-384.96769349731346	-412.3568760984536	-389.6495000250233	-497.3221016521985	-1229.695464297113	-1827.5342249139312
13000	-207.76609327174745	-207.7324744559012	-208.8629222177052	-208.02213274719932	-206.313633715915	-225.5843384152915	-233.88486193137155	-235.2909078579491	-235.48648599243046	-243.62991205685387	-245.86344632242987	-259.64531576432483	-299.1553878635635	-268.4414446950334	-367.85929496034885	-1105.6901660622175	-1780.5891594917573
13000	-223.85017055933235	-221.7449619632493	-220.91709643200178	-220.29274407414235	-220.50601500589565	-220.9686509963965	-218.3726435774332	-226.45961772826007	-231.48521568091766	-235.8159901375579	-240.39677020418696	-269.0296513121555	-298.295567225759	-268.1550848895347	-423.20397838022836	-1120.6718480304135	-1667.433610088997
13000	-199.33058132793136	-199.82593103348808	-198.02149261575602	-196.53928302598067	-196.77381292428376	-204.25293925020077	-203.79357007909096	-214.7002691254835	-211.12738926842226	-226.21348553118028	-234.19707965770365	-245.51997040031728	-269.6541942102599	-245.9740738379133	-340.9390297289661	-1144.2219821110255	-1721.1879473124359
13000	-161.3192336798064	-160.25723473889624	-157.58971026389415	-157.42844816071323	-156.1238607771319	-156.20171833897754	-159.4903054192331	-161.580535913352	-172.6860047901594	-173.93154537222895	-180.80438679884537	-196.56794245653845	-208.62546311745217	-200.22263735490543	-265.7944953308353	-983.9648688549385	-1591.8864145900295
