L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
20000	-224.30037843931208	-221.8360586236411	-221.33255066954777	-218.92828393003862	-217.3032831558191	-213.83545815176035	-217.11664196454032	-215.33377165515813	-226.86809735108434	-241.3094134904348	-240.18598757374042	-253.5586634288946	-273.99967256406455	-253.93721832863423	-400.0185045053173	-1574.517027562814	-2460.7779519600344
20000	-276.30650732906616	-273.6268363719023	-273.7985415575792	-272.7284389006667	-271.9492145211623	-276.07934620830514	-277.2753452176856	-288.47270003492827	-295.84066291689913	-304.0484290362028	-317.9966822851214	-340.1778134212066	-376.31672926666187	-329.01534820502064	-538.2552588435543	-1800.9612937027332	-2792.708300179083
20000	-250.11199879508374	-247.84249688453025	-247.72079269455224	-245.3615506030325	-244.61393024976792	-242.90194485867215	-248.3675415388071	-248.95242248798826	-254.7118166655037	-267.7220646938993	-270.7133569465524	-294.41031907447575	-333.6624480100071	-279.8623179429678	-497.00507587251707	-1715.2619646335152	-2716.082168750746
20000	-211.31757188788148	-211.0168245545783	-209.35183592169957	-206.57717245849628	-205.93619747555098	-200.88087805542884	-200.1655014170891	-206.81064391971609	-207.29971515758422	-231.77424521849585	-234.07390498811864	-260.2176296673804	-277.4953802102888	-260.500239396183	-367.43777415796586	-1424.4564043354835	-2308.8021040236113
20000	-268.068697311235	-267.2686650818443	-266.4746810829129	-266.1517563622614	-263.27325781506175	-260.8130575151329	-267.74168003337064	-268.6200036891745	-279.11146561183085	-283.97638461513935	-305.5513653984329	-341.4751720874818	-378.7035891896974	-341.3551414098483	-522.6189233611384	-1760.1672805074736	-2733.555658012427
20000	-235.1406243974642	-232.93740534960926	-231.6788325133197	-229.94711831685638	-227.60157476980805	-223.09415469213744	-221.8749699813878	-221.48131417431745	-221.9848014321087	-228.1678576132816	-234.76515231155634	-257.80857424561395	-284.1730887199169	-253.59626948997428	-447.421517181079	-1716.7948469007629	-2634.049854471612
20000	-234.8483655029639	-232.19753964458062	-231.11052086967953	-229.09674648779776	-228.07035466946527	-224.4651091542595	-231.1277930134204	-232.94051725735673	-244.7513035605883	-252.30806490134728	-257.63494499851845	-277.5712208339958	-313.93679154153307	-281.3655150146623	-447.34999335345645	-1655.87434696002	-2613.3788442957457
20000	-257.2937524736577	-256.490811645238	-254.4549343518996	-253.19178372960016	-253.5465591236811	-247.4850569811611	-248.5925274903444	-251.46264616076118	-254.48861862329312	-261.91220398596437	-284.84161767453253	-325.72949852983794	-360.8724330546692	-331.3418092879878	-480.93262197876487	-1794.0067713081955	-2726.013577894765
20000	-305.215916387501	-305.1983831897909	-300.93704581199995	-301.67895680351535	-301.7709185405991	-309.8986118111671	-306.7063486002568	-321.9172747078723	-322.4644117725392	-340.3844900535811	-347.53868246089127	-394.1946533149221	-446.15806972414737	-389.0882123102796	-624.199077496903	-1788.6537512175223	-2787.6065522367157
20000	-247.79172170665	-245.69062544936153	-245.33376690004374	-242.9586010703654	-241.77847909545633	-237.90954334940918	-236.77911409423248	-240.32492215141545	-247.50899474631882	-250.60424329609313	-266.7338108030439	-301.59058642639735	-336.18261427778356	-290.96970347939396	-467.22361112249496	-1775.8502530705439	-2724.9970923988026
20000	-278.19198936823483	-276.2459384612458	-276.605401017072	-275.8771873514901	-275.0652285442103	-284.8963615988002	-286.3947063893625	-288.27842502229583	-293.92925527803993	-307.9397936170959	-322.83034279714525	-356.73190285494843	-389.82156785192893	-357.8412426702673	-502.3801648075836	-1555.6976807399753	-2410.106138321042
20000	-250.87615314502216	-249.44570628173952	-248.90454853819628	-245.80296710314778	-246.2689092508075	-245.13911630355017	-247.38989675556164	-247.6210653743376	-268.6449924907922	-276.50988922653625	-296.5693821982348	-328.7131446967073	-359.1938475209426	-321.9065819497654	-478.31964804069185	-1776.5807939703348	-2740.6898387870965
20000	-271.5789254976465	-268.7092280179722	-267.3721992662478	-267.466875151	-265.61288667828455	-265.521674626937	-273.3372217414392	-283.67178609269024	-283.03188748680765	-302.87815190404365	-316.85343392676555	-353.43778128558995	-378.3741951373852	-348.6686492181194	-501.5938035379281	-1768.4981433523142	-2755.025379166816
20000	-260.81838543735785	-258.2901035016105	-257.63535473481346	-254.4112883853402	-254.1083238834479	-249.85170731346147	-250.8813938659427	-253.0635541111682	-258.76229257712214	-261.37816097453475	-278.7407980041425	-304.0443279202715	-360.46888467690314	-319.7225993300749	-486.39423213521786	-1641.1574902366697	-2585.6913562979053
20000	-251.09956880097786	-247.88485231132057	-246.96132141226016	-245.12005762335303	-243.02125609228497	-238.0783975480584	-237.08793371424315	-240.54192326726061	-243.48567626818132	-240.67219155931312	-246.64627809337603	-289.8010880301098	-340.80367541420077	-300.14854944442243	-474.54712490566203	-1613.8672574631582	-2499.2344446374573
20000	-244.7655705818309	-242.74582016891367	-241.84733297183212	-239.40259901947272	-238.35666047868534	-234.8481746688011	-235.79675302590493	-234.80192260142115	-235.63517800684525	-242.84952068560187	-268.6138734859279	-295.7178278499788	-325.0766117453924	-303.5822188458518	-429.92499453347943	-1522.5067290261134	-2370.464325309942
20000	-205.39004876595476	-202.60224239432958	-200.97678181908043	-198.35502338111237	-196.71065883626898	-197.9086475660737	-196.89608600021623	-198.25905083247525	-197.67408684520555	-207.69477681172467	-209.4617461529152	-240.623482465456	-262.97464474802166	-243.39657345293455	-368.30237295690085	-1506.0978452234276	-2442.119726437173
20000	-274.2175358645615	-272.4917309319424	-275.0051528329474	-271.7948319902388	-270.95336154102756	-269.1748490574259	-275.9918075412964	-277.1630613294224	-292.7411101699789	-310.2521559812868	-336.4157928713489	-363.5023305836847	-398.8144199605341	-349.7573058082791	-537.0870280101993	-1728.1486138897872	-2692.091203002719
20000	-244.60661316670024	-242.73455334552284	-239.9126274888046	-237.43048296506512	-236.62663679560688	-231.62555384876313	-232.17011920983109	-229.99181142825253	-231.46574612329874	-241.479429591615	-246.77600102310436	-273.5988070339829	-319.4137332204391	-267.07425995079126	-451.109473265332	-1549.8320761413836	-2440.672805133546
20000	-278.42706330868253	-275.86128792761303	-274.6875147670072	-273.0659232506419	-271.9404287528552	-269.182192300684	-271.50358122167444	-281.82666462193765	-283.7047519202567	-307.4442401005746	-326.4049259734817	-357.45415855085156	-390.2489565413117	-357.37949585313703	-529.7266372144376	-1709.7485489675253	-2642.9743833061966
20000	-234.5542047239007	-232.12274185232624	-230.66102418357664	-228.17960204083482	-227.27591632487963	-222.89987267963326	-222.99443842189265	-225.1900424194403	-230.11947914364492	-234.94159370194262	-245.1806019158409	-273.3123339719102	-307.8440336612456	-287.34470481288355	-409.21631144314046	-1599.690849266858	-2470.9229599277
20000	-231.4404641372421	-228.7520708604771	-227.49657167839572	-226.2882577063137	-224.92254915552274	-228.0933002957633	-228.47341143053356	-232.3141887221287	-234.36664525297746	-245.4117047561095	-251.46848063412577	-280.5118875173531	-307.0281288599772	-285.52030809377135	-433.7917708135489	-1570.5650046569017	-2498.7717981147885
20000	-249.36921034861848	-247.79252827644677	-245.50501652193185	-245.14262985283247	-243.9670975889533	-242.90226733962325	-243.2319273941937	-258.73927307416255	-262.9103589800132	-281.607121762529	-280.28228271305994	-294.0109666492091	-322.83721028020716	-286.54140802083873	-451.3774147761094	-1490.5962559712186	-2380.031309206733
20000	-255.09625877781775	-252.481006603736	-251.11853264930923	-248.46239516839807	-248.04772722950452	-243.1384730691153	-241.70161311266676	-244.2092433104864	-248.06944676869063	-251.9785925962806	-268.78217240495616	-305.94551435827015	-338.3446956391655	-295.85309961460365	-488.6617585141194	-1664.286059758551	-2542.4073005356304
20000	-267.1979506033214	-263.81096872101926	-263.60117315219816	-262.32489370920547	-262.1118557335661	-257.7968219117266	-259.17747960775984	-263.4789397889581	-272.6567201611797	-297.6719554271276	-309.5924302188753	-342.4372722926106	-375.2130800304309	-346.57475357326814	-488.6456590968929	-1656.2068974781512	-2562.8716570145134
20000	-286.43425884941144	-284.66309931963633	-284.069398548661	-280.87728387169005	-280.3638910703392	-282.63143795797225	-283.44803388833725	-284.258343619983	-292.16443683522584	-307.2056466747406	-315.3456092708973	-334.6174917899074	-392.1133375768426	-334.4947560263324	-547.2222172856567	-1677.1040407023165	-2587.5065997700967
20000	-252.81883927770096	-253.08904886979386	-250.60288352053942	-251.14139906991306	-248.4927963329985	-248.0794557583227	-248.37737466799848	-267.1711402134053	-278.85755322784223	-294.54907173916183	-295.8283669748163	-315.04390070689976	-351.59675920040144	-307.69060929369726	-489.7652383333683	-1852.0268109927995	-2834.1497298136096
20000	-296.6680432585756	-294.6071971157664	-294.45236248385737	-293.2355800267521	-292.5563130949688	-290.5496548338645	-291.98919620617414	-299.5083345235679	-305.87749173656846	-327.30574523238033	-353.38970526896685	-374.2072166475609	-427.3585709390011	-372.2830900520157	-577.6241955517897	-1957.6373757133645	-2879.2617869588785
20000	-233.06458658850482	-231.53725536701972	-229.10598264581193	-228.34140552044173	-227.90833303303702	-226.28598587929113	-227.0174097353135	-230.8618174529267	-238.6398745219075	-264.4279420411543	-289.13268517259615	-300.3522627872334	-317.2326613614757	-294.77509906317385	-426.1646044375336	-1495.381607712964	-2436.4016915461198
20000	-248.00867209204807	-247.16147910610118	-247.32357494202014	-244.3197379654151	-243.1744962244108	-240.3949443836949	-240.6769341082337	-245.50830613176512	-250.47808592387798	-278.0710289686604	-286.9793379692907	-314.5080300365461	-342.9185626989865	-320.54035530849103	-468.5470908194161	-1793.5878035857857	-2738.398867525541
20000	-244.37784032913382	-242.4616050387584	-240.0140242624615	-238.69762361656265	-236.74018094583627	-236.0442335097974	-237.0471973590411	-242.74140050866566	-249.95970496561267	-273.0504370964472	-280.8233486373311	-305.3589234532922	-334.2819220905447	-298.9687417067984	-478.8719729359781	-1708.1758720078687	-2681.544274342202
20000	-275.2573216603884	-273.6605486452554	-270.64180075425264	-270.384292635136	-268.79544046245127	-266.995784203378	-267.60297411518155	-277.3071676997013	-279.8582878597547	-297.580864011904	-314.03465252837384	-332.9007214919584	-380.1859540799032	-334.05264962050285	-521.3902636054543	-1780.3796770513422	-2678.5333498470245
20000	-200.19828541875947	-198.31247620731702	-197.06857820761363	-194.44175338204207	-191.67035087091224	-186.77702187866493	-185.7038512532614	-187.6384449491217	-186.12328304382913	-187.2613910547914	-201.31298388333317	-221.38853316372172	-252.54259108337786	-208.1809106776548	-378.09422142391276	-1612.1751804017733	-2593.338289544411
20000	-202.30876284738108	-200.07358801377137	-199.42663084495493	-196.5306682080455	-194.34671122091132	-190.47488028020229	-193.36358184710636	-193.02290789665088	-193.25940968715847	-198.64090920254188	-205.3749770412354	-218.80341726945866	-243.94692302996557	-208.65303481115407	-363.9704803717641	-1623.3088857850307	-2532.691595867208
20000	-294.4154175008564	-291.5993509942851	-290.79591876475564	-289.40073752572766	-288.3309713596751	-286.466470379908	-291.39169516674457	-296.9946442822466	-305.1673091579576	-308.2322514818618	-332.913444049379	-366.9931865330194	-417.6175297495115	-376.69918508952105	-582.7869918993083	-1820.4242704600133	-2764.3915724642707
20000	-248.74916260381687	-246.72412721539538	-245.5871706857731	-244.113249970007	-243.26108859379133	-244.67374756391314	-241.35646258188672	-247.11289374359856	-250.06159934321911	-257.0882375630156	-276.64304606288607	-312.86420075721503	-338.30527920093755	-294.66520058786074	-486.74614572898014	-1923.9741900816205	-2945.9686585696227
20000	-281.98384518489075	-281.9871067187624	-279.8393721471563	-279.32347353935745	-278.3162634006102	-273.1630438632372	-274.46453954056403	-289.6558178280773	-285.0725994332046	-307.608260498484	-318.387310930682	-357.7579828335131	-389.51660067911064	-365.1628871271279	-522.6762979748738	-1624.7088018705404	-2489.618978836127
20000	-215.09413891552921	-213.35685875536745	-212.19522263687654	-208.4569186016586	-207.1039222346402	-210.03754859056016	-209.68512964720517	-216.41605123582573	-210.68546038606507	-234.53052581015382	-235.69189769177336	-239.12111953165703	-260.115920990925	-236.78226891825045	-352.00993266801504	-1585.186117111538	-2384.2664645664727
20000	-244.12337773500002	-241.84750393348457	-241.26261128680804	-238.63996586356876	-237.76242035020323	-236.31621107835247	-239.71424427439757	-241.15293551864048	-239.19064397702218	-270.9150020178134	-272.1669498436402	-288.7929600969442	-332.7188871283774	-286.7035840651228	-455.2823940990803	-1638.1009746165246	-2524.5983574672896
20000	-228.85321138834757	-227.56176904777777	-225.22442080709322	-222.91558475842479	-221.8820394881887	-217.8237365745484	-218.63751188240659	-223.18146260659174	-226.25625164782744	-241.6196521923262	-248.63538938264713	-260.99205157851287	-282.8149230873424	-259.52087800438136	-422.1056150407251	-1603.477120962666	-2476.629548256948
20000	-214.1584955742041	-212.7707122249157	-213.0677851289045	-208.77106764169065	-206.90510813886695	-209.3283951502655	-209.78949910535601	-211.48551494515982	-209.16111202924725	-223.75437145199788	-229.30240956085686	-251.054785882326	-260.7096226403843	-252.61435187210978	-345.10968296604926	-1425.7262074089758	-2252.6724556646436
20000	-280.850566355693	-276.60771247918535	-275.87501266284596	-274.030610154401	-273.5364715545612	-268.00769518749945	-269.4879428493114	-272.86613207408993	-274.58251227722764	-292.8738483778704	-307.53603010672333	-338.43917860072565	-398.3288879454688	-325.6837799898282	-545.6615992335041	-1901.963706320158	-2813.5957529426214
20000	-245.9454550843436	-243.439949329241	-242.89874287614205	-241.5847289717579	-240.7963081508917	-235.22859264277457	-237.19614958908986	-236.98428053048355	-239.66947631445473	-264.45563427710823	-273.4008192538726	-288.89663934059035	-323.63274931269825	-287.6928583418327	-447.57609991274484	-1643.8890746837196	-2522.881057221188
20000	-195.74026154052532	-193.46550062165443	-193.12765931891366	-189.9152772336073	-188.36440576993272	-184.16453168958617	-182.08397438627492	-184.68052256529202	-183.23509905082065	-199.52000001420143	-198.00403159113083	-211.06198193380803	-223.6148124369408	-210.331613474771	-340.63350449596004	-1346.7723933649029	-2173.34953814078
20000	-277.5910747057013	-274.6796608453921	-272.92676934521074	-271.98295232708216	-271.60186327493017	-267.1450834052368	-267.733114850359	-274.9870744697155	-275.4040231893973	-285.5684644436219	-308.1987905930054	-353.1166116827884	-395.04519409622094	-351.11874332313823	-531.5249398347746	-1802.7021501487213	-2722.9594979884573
20000	-211.21739473943882	-209.00159571130195	-207.45547064719298	-204.78903860221163	-202.9720077510302	-197.9751272924636	-195.75650803469804	-195.22604463505425	-196.9627927000663	-201.10934791009376	-204.16756221975234	-226.34608536522927	-258.1449948037121	-228.0913645420445	-405.61639485673277	-1626.648177890699	-2583.3181047969492
20000	-251.82296456897106	-251.06109516030654	-247.96925558880505	-247.98214432156587	-245.49265172174506	-241.93251192887342	-241.11925381296814	-243.63401338456808	-244.54388079055582	-259.25974412979446	-265.92569628948456	-301.53443151169256	-339.95077895973265	-301.7447123763659	-487.64382052390965	-1704.375145409678	-2630.3125159146225
20000	-257.8411024084197	-256.50936018896084	-255.68913556071968	-255.19480291333355	-252.61857763077663	-249.8862429625305	-252.5067528026301	-264.9118372945341	-255.32299746678856	-277.83047915308754	-302.4142848763412	-317.2143813582901	-343.0858480132213	-312.1806080497998	-495.61762816019757	-1715.1872567016296	-2563.1429628193027
20000	-258.00428919639313	-255.689971724061	-253.3067504153835	-251.39967393826896	-251.37856916963682	-257.6477846811195	-252.99924423075916	-259.46728654351307	-262.1918184742677	-265.3786521782235	-277.6992452580002	-321.4054497102085	-350.56983674870554	-319.1613113837477	-482.60341973454956	-1639.9952986893022	-2600.8886558738727
20000	-223.6686797152775	-221.5426526640356	-221.12827387882294	-219.95922277880928	-217.8216141693647	-216.46259197114023	-219.95474636230043	-224.31260065577314	-223.15894202985885	-235.84341691893658	-242.2032735391027	-259.3153949988874	-293.62049497439034	-255.1498988090361	-412.6401988862567	-1664.3017857651425	-2595.6300148995815
20000	-290.6265438491503	-288.6575225725772	-289.30507319860874	-289.2351390544966	-287.6092339093056	-286.8129173923973	-293.4498147265601	-309.7670798332286	-313.0866390531487	-347.3144117952881	-357.85308679188853	-394.31419505408024	-423.32910961123497	-385.51767087884963	-555.3321020120878	-1815.3824623405792	-2856.315597258779
20000	-265.8961042413268	-264.1104768908084	-262.4458532756136	-262.345109218343	-259.2286305302635	-264.7244258281151	-267.216323299955	-269.1593182751368	-279.48958555255416	-299.019911561299	-320.32129446901496	-346.06357476791953	-376.57637613952824	-344.80482606583377	-516.051162334916	-1715.407409891971	-2690.997438801474
20000	-273.40119748652273	-272.0809126657835	-271.0526392187288	-269.05296924038464	-269.2065782891182	-265.7895878428974	-269.5105962294165	-275.96523067685376	-285.5072391631716	-312.30170721256553	-320.6827815427898	-365.2222004684144	-397.0406423190414	-363.1564094857564	-537.2780671237049	-1782.1326278150013	-2739.7583825743313
20000	-225.61731798784047	-223.10661647935146	-221.69113739505272	-218.79180238059084	-217.34279906066942	-213.79551699026234	-212.17716154973135	-212.4031717440104	-212.48141260168845	-221.11728890567116	-224.71941899244482	-251.1821843215882	-288.19265505969076	-238.79708277920065	-441.46371282472467	-1633.0129582715913	-2552.4196378015677
20000	-220.49600815608943	-216.87705365954187	-215.50180353754408	-214.43861720531103	-213.053625106742	-208.92462641337886	-207.81999053138426	-218.4868970024651	-214.67654818885262	-232.87451206698518	-249.28085680988357	-269.450737330936	-296.1140875997252	-258.42977500129496	-428.42402446390474	-1637.8930134470645	-2652.6510389476
