L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
25000	-239.53048967567392	-236.46636698560528	-234.32338748855224	-231.23255395306114	-227.51725816403004	-221.23884248109266	-217.65236240577846	-215.45595293983595	-214.47552125139725	-213.2644411942582	-214.0209489273722	-235.53375775461953	-275.8447762724476	-231.32621278843226	-467.8938503772388	-1973.5648286814146	-3100.4446343466793
25000	-267.9031520720378	-265.0968112081252	-262.7685205087659	-260.1091550265498	-257.8703145212788	-250.993043590671	-249.04537575404655	-248.3187212610876	-247.93981539129516	-244.84820952469647	-256.1539579858293	-298.22783520700506	-329.43103271330966	-295.94837465267614	-520.1805032964152	-1886.1083507949827	-3011.2850907213788
25000	-238.07119561924145	-234.974012820895	-233.18697064745734	-230.55348972353235	-227.24955524602294	-219.7293152912589	-218.1931252585116	-217.50163460004734	-215.3015795479521	-213.65056232198685	-225.46397331480355	-256.7975727951158	-298.87362482997156	-259.48576519581366	-450.7099981582747	-1789.2220184422997	-2908.038054024115
25000	-247.23661697619735	-244.80235957448932	-242.67669069909138	-239.08848348703518	-235.88555588824045	-229.16019079297556	-225.57657146261798	-222.39835748853022	-221.26207588263918	-220.95696452144014	-219.14258453873492	-230.60453741320563	-265.06279876997723	-225.22992515040374	-452.5315316478803	-1885.1860369766239	-2906.8019919222083
25000	-220.78715067388677	-218.59694937232953	-216.4628456535079	-212.21690925441675	-209.32217384411382	-202.4854288756708	-199.61597760474064	-197.24508127539627	-195.41648289581877	-195.62063221155398	-194.77894519173117	-211.1421042720178	-243.96190560709684	-206.88089748783065	-413.2371348185967	-1958.3699171767419	-3167.59783915485
25000	-238.06481680047523	-235.39050783955278	-232.9643118429968	-229.80398331512617	-226.36912381419413	-219.980714497608	-217.9671229972366	-215.26332084300657	-215.29625113061633	-213.10359899591992	-216.89875913564512	-247.03251921430257	-289.5249171772362	-233.30666056070768	-481.18374759719416	-2038.6320487415353	-3233.1123795767385
25000	-234.64056945614584	-231.97333962294343	-230.34295903610254	-226.7801497909202	-223.84207685452378	-216.3488813678538	-213.6611967200822	-210.4457570405744	-210.5960568496913	-209.57795185035545	-210.94549119338575	-226.38783129150045	-269.44485280740435	-215.79904979011707	-442.1913301254419	-2032.5295093751017	-3182.039740520159
25000	-260.86777617318563	-257.94565348991165	-255.93836372887003	-252.9350228643639	-250.19517385854448	-243.93056141271896	-241.5407485838249	-239.2549737147581	-239.28648182897342	-236.4303474182168	-242.5212716359923	-287.5963143681037	-335.15276229026955	-276.16124279958245	-526.3773813953793	-2138.176356468788	-3271.6437251583557
25000	-209.7897159139722	-206.2815770789152	-204.07887771488325	-200.68386981098493	-198.16252975278712	-191.14720308091256	-187.90586828492266	-185.37647523311875	-185.63744372628116	-184.03956596452397	-189.93906175988715	-204.32385696760025	-231.59975276676764	-202.30542116298435	-388.4358086959131	-1873.8536019930345	-3025.790580563329
25000	-190.91365716615155	-188.86019790080692	-186.05585123174794	-182.17859584452364	-179.7974783944935	-174.0753847230528	-170.16546074237962	-166.6770723211785	-165.97029640107885	-165.6086745650818	-163.84567055063638	-178.6907138264346	-206.1205361024564	-185.1357034403705	-340.2687770023499	-1747.423612730324	-2884.362396951646
25000	-248.30368158442778	-245.81495898141984	-244.17834443146685	-240.39068889241778	-237.4177600543895	-231.11075450949627	-228.0984883570053	-226.54234518178276	-226.80591224955612	-224.7557202303855	-229.62337718850426	-263.98330147344177	-291.98737692854775	-249.86545260912843	-482.7041757830362	-2080.588218808487	-3241.2563447885436
25000	-210.9873646506574	-208.52817415519812	-206.45017995548832	-201.95740628281285	-199.39625829333642	-192.7565947445484	-189.0412826203197	-186.18567480094268	-184.92182012901338	-184.82863608651886	-182.41662825105854	-194.02358227361606	-238.3853287898898	-186.62854318601302	-373.97131118382146	-1797.4260739219214	-2913.9234896586263
25000	-226.4001776098824	-223.20027306310888	-220.90027240892343	-217.7873289903678	-214.07438255177144	-207.53169858934652	-203.97199050582316	-202.22522486248488	-199.68560424374476	-200.76349518406877	-205.36646837057236	-215.5655056197734	-248.28768976100352	-204.31746321558785	-448.3988806022848	-1937.5646828651854	-3101.8520550959097
25000	-233.37149129309157	-231.399629899823	-229.33247902458922	-225.089548783014	-222.8408968755917	-216.09445666482915	-213.3560630253104	-211.55383097884203	-210.89676315529778	-210.50449255551055	-214.74567577972874	-250.45658398516605	-278.68735889240156	-235.89396266605658	-466.84627602542906	-1937.0676025590628	-3136.2358459316224
25000	-252.57882701185326	-250.08809979825762	-248.08765138845118	-245.15512564942264	-241.92115345864727	-235.80546795846226	-234.6616639782282	-232.85059523219363	-233.3247731638793	-230.8516156854771	-244.89001696014992	-277.79099221559534	-321.12944878926527	-267.2731549638349	-517.8282673314876	-2017.1996645382515	-3175.2025062861762
25000	-223.90217282725405	-221.7624595755063	-219.44578715791462	-216.54409755140773	-212.73343724640188	-206.19320791974687	-203.31923879210606	-200.63445821501261	-200.61408782810145	-199.40537839416277	-203.1379664049153	-223.72757009970726	-260.6950228730293	-218.07311735215313	-441.74957658807875	-2003.858530810014	-3165.3969212856127
25000	-251.61585480790265	-247.55675685587764	-245.98007439094332	-241.65218445972803	-240.68548845078183	-233.37437949560805	-231.08433796125564	-229.5551593064428	-230.4900603384996	-227.23654643116987	-230.7444883551938	-256.22505592900535	-328.57366778987864	-267.2035581345357	-509.7872910898641	-1933.0476027588	-3106.3895280323836
25000	-201.46983033908245	-198.5593134000138	-196.32375268846428	-192.74334774395055	-189.54972939332285	-182.56866361491097	-178.97737503753794	-176.7139071824813	-176.01238877828655	-174.93100290741552	-175.81040130870502	-190.96538518553874	-227.7921770101989	-171.5276894966611	-408.9471207764197	-2138.6189128438455	-3450.0309957856384
